1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AC00000033830E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:44:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:04:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10829
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:04:01 PM,C,17.445
04/08/14 08:24:01 PM,C,16.881
04/08/14 08:44:01 PM,C,16.756
04/08/14 09:04:01 PM,C,16.63
04/08/14 09:24:01 PM,C,16.254
04/08/14 09:44:01 PM,C,16.192
04/08/14 10:04:01 PM,C,16.129
04/08/14 10:24:01 PM,C,16.192
04/08/14 10:44:01 PM,C,16.129
04/08/14 11:04:01 PM,C,16.192
04/08/14 11:24:01 PM,C,16.38
04/08/14 11:44:01 PM,C,16.129
05/08/14 12:04:01 AM,C,16.066
05/08/14 12:24:01 AM,C,16.129
05/08/14 12:44:01 AM,C,16.317
05/08/14 01:04:01 AM,C,16.317
05/08/14 01:24:01 AM,C,16.004
05/08/14 01:44:01 AM,C,16.38
05/08/14 02:04:01 AM,C,16.63
05/08/14 02:24:01 AM,C,16.38
05/08/14 02:44:01 AM,C,15.941
05/08/14 03:04:01 AM,C,16.066
05/08/14 03:24:01 AM,C,16.004
05/08/14 03:44:01 AM,C,16.066
05/08/14 04:04:01 AM,C,16.129
05/08/14 04:24:01 AM,C,16.004
05/08/14 04:44:01 AM,C,16.192
05/08/14 05:04:01 AM,C,16.505
05/08/14 05:24:01 AM,C,16.254
05/08/14 05:44:01 AM,C,17.194
05/08/14 06:04:01 AM,C,20.2
05/08/14 06:24:01 AM,C,22.265
05/08/14 06:44:01 AM,C,23.953
05/08/14 07:04:01 AM,C,24.891
05/08/14 07:24:01 AM,C,24.953
05/08/14 07:44:01 AM,C,25.453
05/08/14 08:04:01 AM,C,26.016
05/08/14 08:24:01 AM,C,26.703
05/08/14 08:44:01 AM,C,27.39
05/08/14 09:04:01 AM,C,26.703
05/08/14 09:24:01 AM,C,25.203
05/08/14 09:44:01 AM,C,26.14
05/08/14 10:04:01 AM,C,28.951
05/08/14 10:24:01 AM,C,26.89
05/08/14 10:44:01 AM,C,26.578
05/08/14 11:04:01 AM,C,24.516
05/08/14 11:24:01 AM,C,24.641
05/08/14 11:44:01 AM,C,26.203
05/08/14 12:04:01 PM,C,26.515
05/08/14 12:24:01 PM,C,25.016
05/08/14 12:44:01 PM,C,28.389
05/08/14 01:04:01 PM,C,29.075
05/08/14 01:24:01 PM,C,25.828
05/08/14 01:44:01 PM,C,23.578
05/08/14 02:04:01 PM,C,24.953
05/08/14 02:24:01 PM,C,25.203
05/08/14 02:44:01 PM,C,27.015
05/08/14 03:04:01 PM,C,27.889
05/08/14 03:24:01 PM,C,26.765
05/08/14 03:44:01 PM,C,24.766
05/08/14 04:04:01 PM,C,22.39
05/08/14 04:24:01 PM,C,21.264
05/08/14 04:44:01 PM,C,20.951
05/08/14 05:04:01 PM,C,20.262
05/08/14 05:24:01 PM,C,19.762
05/08/14 05:44:01 PM,C,19.136
05/08/14 06:04:01 PM,C,18.635
05/08/14 06:24:01 PM,C,18.259
05/08/14 06:44:01 PM,C,18.008
05/08/14 07:04:01 PM,C,17.633
05/08/14 07:24:01 PM,C,17.319
05/08/14 07:44:01 PM,C,17.319
05/08/14 08:04:01 PM,C,17.633
05/08/14 08:24:01 PM,C,18.196
05/08/14 08:44:01 PM,C,17.257
05/08/14 09:04:01 PM,C,16.944
05/08/14 09:24:01 PM,C,16.442
05/08/14 09:44:01 PM,C,17.319
05/08/14 10:04:01 PM,C,17.445
05/08/14 10:24:01 PM,C,16.442
05/08/14 10:44:01 PM,C,16.568
05/08/14 11:04:01 PM,C,16.756
05/08/14 11:24:01 PM,C,16.63
05/08/14 11:44:01 PM,C,16.693
06/08/14 12:04:01 AM,C,16.63
06/08/14 12:24:01 AM,C,16.129
06/08/14 12:44:01 AM,C,16.568
06/08/14 01:04:01 AM,C,16.192
06/08/14 01:24:01 AM,C,16.38
06/08/14 01:44:01 AM,C,16.568
06/08/14 02:04:01 AM,C,17.069
06/08/14 02:24:01 AM,C,16.693
06/08/14 02:44:01 AM,C,16.881
06/08/14 03:04:01 AM,C,16.756
06/08/14 03:24:01 AM,C,16.693
06/08/14 03:44:01 AM,C,16.693
06/08/14 04:04:01 AM,C,17.132
06/08/14 04:24:01 AM,C,17.57
06/08/14 04:44:01 AM,C,17.445
06/08/14 05:04:01 AM,C,17.57
06/08/14 05:24:01 AM,C,17.821
06/08/14 05:44:01 AM,C,17.821
06/08/14 06:04:01 AM,C,17.883
06/08/14 06:24:01 AM,C,17.445
06/08/14 06:44:01 AM,C,17.257
06/08/14 07:04:01 AM,C,17.006
06/08/14 07:24:01 AM,C,16.944
06/08/14 07:44:01 AM,C,16.818
06/08/14 08:04:01 AM,C,16.944
06/08/14 08:24:01 AM,C,17.633
06/08/14 08:44:01 AM,C,17.758
06/08/14 09:04:01 AM,C,19.136
06/08/14 09:24:01 AM,C,20.951
06/08/14 09:44:01 AM,C,21.952
06/08/14 10:04:01 AM,C,23.766
06/08/14 10:24:01 AM,C,25.141
06/08/14 10:44:01 AM,C,27.702
06/08/14 11:04:01 AM,C,27.952
06/08/14 11:24:01 AM,C,27.452
06/08/14 11:44:01 AM,C,26.328
06/08/14 12:04:01 PM,C,24.953
06/08/14 12:24:01 PM,C,23.453
06/08/14 12:44:01 PM,C,22.64
06/08/14 01:04:01 PM,C,22.265
06/08/14 01:24:01 PM,C,22.702
06/08/14 01:44:01 PM,C,26.453
06/08/14 02:04:01 PM,C,23.328
06/08/14 02:24:01 PM,C,22.577
06/08/14 02:44:01 PM,C,24.141
06/08/14 03:04:01 PM,C,23.015
06/08/14 03:24:01 PM,C,22.452
06/08/14 03:44:01 PM,C,22.577
06/08/14 04:04:01 PM,C,22.702
06/08/14 04:24:01 PM,C,22.265
06/08/14 04:44:01 PM,C,21.139
06/08/14 05:04:01 PM,C,20.638
06/08/14 05:24:01 PM,C,20.137
06/08/14 05:44:01 PM,C,19.323
06/08/14 06:04:01 PM,C,18.51
06/08/14 06:24:01 PM,C,18.76
06/08/14 06:44:01 PM,C,18.635
06/08/14 07:04:01 PM,C,18.196
06/08/14 07:24:01 PM,C,17.946
06/08/14 07:44:01 PM,C,17.758
06/08/14 08:04:01 PM,C,17.57
06/08/14 08:24:01 PM,C,17.319
06/08/14 08:44:01 PM,C,17.194
06/08/14 09:04:01 PM,C,16.944
06/08/14 09:24:01 PM,C,16.881
06/08/14 09:44:01 PM,C,16.756
06/08/14 10:04:01 PM,C,16.63
06/08/14 10:24:01 PM,C,16.505
06/08/14 10:44:01 PM,C,16.568
06/08/14 11:04:01 PM,C,16.505
06/08/14 11:24:01 PM,C,16.505
06/08/14 11:44:01 PM,C,16.818
07/08/14 12:04:01 AM,C,16.881
07/08/14 12:24:01 AM,C,17.006
07/08/14 12:44:01 AM,C,16.568
07/08/14 01:04:01 AM,C,16.442
07/08/14 01:24:01 AM,C,16.129
07/08/14 01:44:01 AM,C,15.941
07/08/14 02:04:01 AM,C,16.129
07/08/14 02:24:01 AM,C,16.066
07/08/14 02:44:01 AM,C,16.317
07/08/14 03:04:01 AM,C,15.816
07/08/14 03:24:01 AM,C,15.69
07/08/14 03:44:01 AM,C,15.753
07/08/14 04:04:01 AM,C,15.878
07/08/14 04:24:01 AM,C,15.816
07/08/14 04:44:01 AM,C,16.38
07/08/14 05:04:01 AM,C,16.317
07/08/14 05:24:01 AM,C,16.192
07/08/14 05:44:01 AM,C,16.505
07/08/14 06:04:01 AM,C,16.818
07/08/14 06:24:01 AM,C,17.507
07/08/14 06:44:01 AM,C,18.196
07/08/14 07:04:01 AM,C,19.073
07/08/14 07:24:01 AM,C,20.701
07/08/14 07:44:01 AM,C,21.264
07/08/14 08:04:01 AM,C,22.39
07/08/14 08:24:01 AM,C,25.141
07/08/14 08:44:01 AM,C,26.265
07/08/14 09:04:01 AM,C,24.453
07/08/14 09:24:01 AM,C,23.891
07/08/14 09:44:01 AM,C,27.14
07/08/14 10:04:01 AM,C,26.39
07/08/14 10:24:01 AM,C,26.89
07/08/14 10:44:01 AM,C,26.828
07/08/14 11:04:01 AM,C,25.703
07/08/14 11:24:01 AM,C,26.39
07/08/14 11:44:01 AM,C,28.014
07/08/14 12:04:01 PM,C,27.952
07/08/14 12:24:01 PM,C,26.765
07/08/14 12:44:01 PM,C,27.327
07/08/14 01:04:01 PM,C,27.702
07/08/14 01:24:01 PM,C,28.389
07/08/14 01:44:01 PM,C,26.265
07/08/14 02:04:01 PM,C,25.016
07/08/14 02:24:01 PM,C,25.266
07/08/14 02:44:01 PM,C,25.641
07/08/14 03:04:01 PM,C,26.828
07/08/14 03:24:01 PM,C,26.515
07/08/14 03:44:01 PM,C,25.828
07/08/14 04:04:01 PM,C,25.891
07/08/14 04:24:01 PM,C,24.516
07/08/14 04:44:01 PM,C,22.077
07/08/14 05:04:01 PM,C,21.326
07/08/14 05:24:01 PM,C,21.389
07/08/14 05:44:01 PM,C,19.95
07/08/14 06:04:01 PM,C,18.76
07/08/14 06:24:01 PM,C,18.572
07/08/14 06:44:01 PM,C,19.261
07/08/14 07:04:01 PM,C,19.323
07/08/14 07:24:01 PM,C,18.384
07/08/14 07:44:01 PM,C,18.196
07/08/14 08:04:01 PM,C,18.447
07/08/14 08:24:01 PM,C,18.259
07/08/14 08:44:01 PM,C,17.946
07/08/14 09:04:01 PM,C,18.071
07/08/14 09:24:01 PM,C,17.758
07/08/14 09:44:01 PM,C,17.57
07/08/14 10:04:01 PM,C,18.071
07/08/14 10:24:01 PM,C,17.883
07/08/14 10:44:01 PM,C,17.821
07/08/14 11:04:01 PM,C,17.445
07/08/14 11:24:01 PM,C,17.257
07/08/14 11:44:01 PM,C,17.257
08/08/14 12:04:01 AM,C,16.881
08/08/14 12:24:01 AM,C,16.756
08/08/14 12:44:01 AM,C,16.568
08/08/14 01:04:01 AM,C,16.442
08/08/14 01:24:01 AM,C,16.317
08/08/14 01:44:01 AM,C,16.317
08/08/14 02:04:01 AM,C,16.317
08/08/14 02:24:01 AM,C,16.192
08/08/14 02:44:01 AM,C,16.004
08/08/14 03:04:01 AM,C,16.129
08/08/14 03:24:01 AM,C,16.505
08/08/14 03:44:01 AM,C,16.693
08/08/14 04:04:01 AM,C,17.132
08/08/14 04:24:01 AM,C,17.069
08/08/14 04:44:01 AM,C,17.319
08/08/14 05:04:01 AM,C,16.63
08/08/14 05:24:01 AM,C,16.756
08/08/14 05:44:01 AM,C,16.818
08/08/14 06:04:01 AM,C,16.756
08/08/14 06:24:01 AM,C,16.881
08/08/14 06:44:01 AM,C,16.881
08/08/14 07:04:01 AM,C,16.881
08/08/14 07:24:01 AM,C,17.006
08/08/14 07:44:01 AM,C,17.132
08/08/14 08:04:01 AM,C,17.319
08/08/14 08:24:01 AM,C,17.821
08/08/14 08:44:01 AM,C,18.384
08/08/14 09:04:01 AM,C,18.322
08/08/14 09:24:01 AM,C,18.384
08/08/14 09:44:01 AM,C,18.635
08/08/14 10:04:01 AM,C,19.198
08/08/14 10:24:01 AM,C,18.76
08/08/14 10:44:01 AM,C,19.136
08/08/14 11:04:01 AM,C,19.511
08/08/14 11:24:01 AM,C,20.012
08/08/14 11:44:01 AM,C,19.637
08/08/14 12:04:01 PM,C,18.948
08/08/14 12:24:01 PM,C,19.073
08/08/14 12:44:01 PM,C,19.762
08/08/14 01:04:01 PM,C,20.638
08/08/14 01:24:01 PM,C,21.326
08/08/14 01:44:01 PM,C,20.45
08/08/14 02:04:01 PM,C,19.762
08/08/14 02:24:01 PM,C,19.574
08/08/14 02:44:01 PM,C,20.137
08/08/14 03:04:01 PM,C,20.012
08/08/14 03:24:01 PM,C,19.762
08/08/14 03:44:01 PM,C,19.136
08/08/14 04:04:01 PM,C,18.76
08/08/14 04:24:01 PM,C,18.51
08/08/14 04:44:01 PM,C,18.447
08/08/14 05:04:01 PM,C,18.259
08/08/14 05:24:01 PM,C,18.447
08/08/14 05:44:01 PM,C,18.134
08/08/14 06:04:01 PM,C,18.071
08/08/14 06:24:01 PM,C,18.008
08/08/14 06:44:01 PM,C,17.633
08/08/14 07:04:01 PM,C,17.445
08/08/14 07:24:01 PM,C,17.132
08/08/14 07:44:01 PM,C,17.257
08/08/14 08:04:01 PM,C,17.319
08/08/14 08:24:01 PM,C,17.445
08/08/14 08:44:01 PM,C,17.194
08/08/14 09:04:01 PM,C,16.63
08/08/14 09:24:01 PM,C,16.317
08/08/14 09:44:01 PM,C,16.192
08/08/14 10:04:01 PM,C,16.317
08/08/14 10:24:01 PM,C,16.004
08/08/14 10:44:01 PM,C,16.129
08/08/14 11:04:01 PM,C,16.192
08/08/14 11:24:01 PM,C,16.38
08/08/14 11:44:01 PM,C,16.129
09/08/14 12:04:01 AM,C,16.066
09/08/14 12:24:01 AM,C,16.317
09/08/14 12:44:01 AM,C,16.192
09/08/14 01:04:01 AM,C,16.066
09/08/14 01:24:01 AM,C,16.129
09/08/14 01:44:01 AM,C,16.129
09/08/14 02:04:01 AM,C,15.753
09/08/14 02:24:01 AM,C,15.753
09/08/14 02:44:01 AM,C,15.69
09/08/14 03:04:01 AM,C,15.44
09/08/14 03:24:01 AM,C,15.44
09/08/14 03:44:01 AM,C,15.377
09/08/14 04:04:01 AM,C,15.377
09/08/14 04:24:01 AM,C,15.502
09/08/14 04:44:01 AM,C,15.565
09/08/14 05:04:01 AM,C,15.565
09/08/14 05:24:01 AM,C,15.314
09/08/14 05:44:01 AM,C,16.066
09/08/14 06:04:01 AM,C,18.697
09/08/14 06:24:01 AM,C,19.511
09/08/14 06:44:01 AM,C,21.264
09/08/14 07:04:01 AM,C,21.702
09/08/14 07:24:01 AM,C,23.14
09/08/14 07:44:01 AM,C,24.141
09/08/14 08:04:01 AM,C,25.953
09/08/14 08:24:01 AM,C,26.078
09/08/14 08:44:01 AM,C,26.828
09/08/14 09:04:01 AM,C,27.764
09/08/14 09:24:01 AM,C,27.577
09/08/14 09:44:01 AM,C,29.013
09/08/14 10:04:01 AM,C,27.202
09/08/14 10:24:01 AM,C,26.016
09/08/14 10:44:01 AM,C,26.89
09/08/14 11:04:01 AM,C,27.827
09/08/14 11:24:01 AM,C,29.075
09/08/14 11:44:01 AM,C,29.887
09/08/14 12:04:01 PM,C,29.013
09/08/14 12:24:01 PM,C,28.888
09/08/14 12:44:01 PM,C,29.325
09/08/14 01:04:01 PM,C,26.265
09/08/14 01:24:01 PM,C,25.453
09/08/14 01:44:01 PM,C,25.266
09/08/14 02:04:01 PM,C,24.703
09/08/14 02:24:01 PM,C,24.078
09/08/14 02:44:01 PM,C,22.89
09/08/14 03:04:01 PM,C,22.452
09/08/14 03:24:01 PM,C,22.014
09/08/14 03:44:01 PM,C,22.765
09/08/14 04:04:01 PM,C,22.515
09/08/14 04:24:01 PM,C,21.952
09/08/14 04:44:01 PM,C,21.326
09/08/14 05:04:01 PM,C,20.888
09/08/14 05:24:01 PM,C,20.45
09/08/14 05:44:01 PM,C,20.137
09/08/14 06:04:01 PM,C,19.887
09/08/14 06:24:01 PM,C,19.762
09/08/14 06:44:01 PM,C,19.699
09/08/14 07:04:01 PM,C,19.699
09/08/14 07:24:01 PM,C,19.574
09/08/14 07:44:01 PM,C,19.261
09/08/14 08:04:01 PM,C,19.136
09/08/14 08:24:01 PM,C,19.136
09/08/14 08:44:01 PM,C,19.136
09/08/14 09:04:01 PM,C,19.01
09/08/14 09:24:01 PM,C,18.823
09/08/14 09:44:01 PM,C,18.697
09/08/14 10:04:01 PM,C,18.384
09/08/14 10:24:01 PM,C,18.384
09/08/14 10:44:01 PM,C,17.821
09/08/14 11:04:01 PM,C,17.194
09/08/14 11:24:01 PM,C,16.818
09/08/14 11:44:01 PM,C,17.633
10/08/14 12:04:01 AM,C,17.507
10/08/14 12:24:01 AM,C,16.756
10/08/14 12:44:01 AM,C,16.63
10/08/14 01:04:01 AM,C,16.693
10/08/14 01:24:01 AM,C,16.818
10/08/14 01:44:01 AM,C,16.63
10/08/14 02:04:01 AM,C,16.38
10/08/14 02:24:01 AM,C,16.38
10/08/14 02:44:01 AM,C,16.317
10/08/14 03:04:01 AM,C,16.192
10/08/14 03:24:01 AM,C,16.38
10/08/14 03:44:01 AM,C,16.317
10/08/14 04:04:01 AM,C,16.129
10/08/14 04:24:01 AM,C,16.129
10/08/14 04:44:01 AM,C,16.568
10/08/14 05:04:01 AM,C,17.445
10/08/14 05:24:01 AM,C,17.758
10/08/14 05:44:01 AM,C,17.507
10/08/14 06:04:01 AM,C,17.633
10/08/14 06:24:01 AM,C,18.322
10/08/14 06:44:01 AM,C,19.198
10/08/14 07:04:01 AM,C,21.201
10/08/14 07:24:01 AM,C,23.078
10/08/14 07:44:01 AM,C,21.451
10/08/14 08:04:01 AM,C,24.328
10/08/14 08:24:01 AM,C,23.953
10/08/14 08:44:01 AM,C,23.453
10/08/14 09:04:01 AM,C,22.577
10/08/14 09:24:01 AM,C,21.952
10/08/14 09:44:01 AM,C,23.453
10/08/14 10:04:01 AM,C,25.078
10/08/14 10:24:01 AM,C,26.14
10/08/14 10:44:01 AM,C,27.077
10/08/14 11:04:01 AM,C,27.764
10/08/14 11:24:01 AM,C,27.515
10/08/14 11:44:01 AM,C,30.573
10/08/14 12:04:01 PM,C,29.325
10/08/14 12:24:01 PM,C,27.827
10/08/14 12:44:01 PM,C,25.391
10/08/14 01:04:01 PM,C,26.39
10/08/14 01:24:01 PM,C,30.261
10/08/14 01:44:01 PM,C,31.571
10/08/14 02:04:01 PM,C,29.7
10/08/14 02:24:01 PM,C,28.326
10/08/14 02:44:01 PM,C,26.14
10/08/14 03:04:01 PM,C,25.453
10/08/14 03:24:01 PM,C,24.391
10/08/14 03:44:01 PM,C,23.578
10/08/14 04:04:01 PM,C,22.702
10/08/14 04:24:01 PM,C,22.64
10/08/14 04:44:01 PM,C,22.452
10/08/14 05:04:01 PM,C,21.451
10/08/14 05:24:01 PM,C,20.638
10/08/14 05:44:01 PM,C,20.262
10/08/14 06:04:01 PM,C,19.824
10/08/14 06:24:01 PM,C,19.198
10/08/14 06:44:01 PM,C,18.697
10/08/14 07:04:01 PM,C,18.384
10/08/14 07:24:01 PM,C,18.51
10/08/14 07:44:01 PM,C,18.322
10/08/14 08:04:01 PM,C,17.821
10/08/14 08:24:01 PM,C,17.695
10/08/14 08:44:01 PM,C,17.821
10/08/14 09:04:01 PM,C,17.758
10/08/14 09:24:01 PM,C,17.758
10/08/14 09:44:01 PM,C,17.445
10/08/14 10:04:01 PM,C,17.069
10/08/14 10:24:01 PM,C,17.132
10/08/14 10:44:01 PM,C,17.069
10/08/14 11:04:01 PM,C,17.758
10/08/14 11:24:01 PM,C,18.196
10/08/14 11:44:01 PM,C,18.384
11/08/14 12:04:01 AM,C,17.695
11/08/14 12:24:01 AM,C,17.382
11/08/14 12:44:01 AM,C,16.881
11/08/14 01:04:01 AM,C,16.944
11/08/14 01:24:01 AM,C,16.881
11/08/14 01:44:01 AM,C,17.257
11/08/14 02:04:01 AM,C,17.194
11/08/14 02:24:01 AM,C,17.006
11/08/14 02:44:01 AM,C,17.132
11/08/14 03:04:01 AM,C,16.944
11/08/14 03:24:01 AM,C,17.006
11/08/14 03:44:01 AM,C,17.382
11/08/14 04:04:01 AM,C,17.57
11/08/14 04:24:01 AM,C,17.695
11/08/14 04:44:01 AM,C,17.695
11/08/14 05:04:01 AM,C,17.695
11/08/14 05:24:01 AM,C,17.507
11/08/14 05:44:01 AM,C,17.382
11/08/14 06:04:01 AM,C,18.008
11/08/14 06:24:01 AM,C,19.449
11/08/14 06:44:01 AM,C,22.953
11/08/14 07:04:01 AM,C,23.766
11/08/14 07:24:01 AM,C,21.639
11/08/14 07:44:01 AM,C,20.575
11/08/14 08:04:01 AM,C,21.577
11/08/14 08:24:01 AM,C,22.202
11/08/14 08:44:01 AM,C,22.765
11/08/14 09:04:01 AM,C,22.452
11/08/14 09:24:01 AM,C,22.765
11/08/14 09:44:01 AM,C,22.765
11/08/14 10:04:01 AM,C,28.077
11/08/14 10:24:01 AM,C,27.64
11/08/14 10:44:01 AM,C,26.703
11/08/14 11:04:01 AM,C,25.453
11/08/14 11:24:01 AM,C,26.328
11/08/14 11:44:01 AM,C,27.515
11/08/14 12:04:01 PM,C,29.138
11/08/14 12:24:01 PM,C,28.888
11/08/14 12:44:01 PM,C,29.512
11/08/14 01:04:01 PM,C,28.389
11/08/14 01:24:01 PM,C,29.2
11/08/14 01:44:01 PM,C,30.074
11/08/14 02:04:01 PM,C,28.264
11/08/14 02:24:01 PM,C,28.514
11/08/14 02:44:01 PM,C,29.325
11/08/14 03:04:01 PM,C,27.265
11/08/14 03:24:01 PM,C,25.891
11/08/14 03:44:01 PM,C,24.328
11/08/14 04:04:01 PM,C,20.513
11/08/14 04:24:01 PM,C,19.637
11/08/14 04:44:01 PM,C,19.386
11/08/14 05:04:01 PM,C,19.323
11/08/14 05:24:01 PM,C,19.386
11/08/14 05:44:01 PM,C,19.323
11/08/14 06:04:01 PM,C,19.073
11/08/14 06:24:01 PM,C,19.073
11/08/14 06:44:01 PM,C,19.01
11/08/14 07:04:01 PM,C,19.01
11/08/14 07:24:01 PM,C,18.823
11/08/14 07:44:01 PM,C,18.447
11/08/14 08:04:01 PM,C,18.447
11/08/14 08:24:01 PM,C,18.447
11/08/14 08:44:01 PM,C,18.259
11/08/14 09:04:01 PM,C,18.196
11/08/14 09:24:01 PM,C,18.008
11/08/14 09:44:01 PM,C,17.821
11/08/14 10:04:01 PM,C,17.57
11/08/14 10:24:01 PM,C,17.382
11/08/14 10:44:01 PM,C,17.382
11/08/14 11:04:01 PM,C,17.382
11/08/14 11:24:01 PM,C,17.382
11/08/14 11:44:01 PM,C,17.445
12/08/14 12:04:01 AM,C,17.132
12/08/14 12:24:01 AM,C,17.633
12/08/14 12:44:01 AM,C,17.821
12/08/14 01:04:01 AM,C,17.194
12/08/14 01:24:01 AM,C,17.132
12/08/14 01:44:01 AM,C,17.758
12/08/14 02:04:01 AM,C,17.633
12/08/14 02:24:01 AM,C,17.57
12/08/14 02:44:01 AM,C,17.319
12/08/14 03:04:01 AM,C,17.507
12/08/14 03:24:01 AM,C,17.319
12/08/14 03:44:01 AM,C,17.257
12/08/14 04:04:01 AM,C,17.006
12/08/14 04:24:01 AM,C,16.568
12/08/14 04:44:01 AM,C,16.442
12/08/14 05:04:01 AM,C,16.442
12/08/14 05:24:01 AM,C,16.693
12/08/14 05:44:01 AM,C,16.756
12/08/14 06:04:01 AM,C,17.069
12/08/14 06:24:01 AM,C,17.319
12/08/14 06:44:01 AM,C,17.946
12/08/14 07:04:01 AM,C,18.322
12/08/14 07:24:01 AM,C,18.134
12/08/14 07:44:01 AM,C,18.134
12/08/14 08:04:01 AM,C,18.447
12/08/14 08:24:01 AM,C,18.76
12/08/14 08:44:01 AM,C,19.261
12/08/14 09:04:01 AM,C,19.887
12/08/14 09:24:01 AM,C,20.137
12/08/14 09:44:01 AM,C,21.326
12/08/14 10:04:01 AM,C,22.702
12/08/14 10:24:01 AM,C,22.89
12/08/14 10:44:01 AM,C,23.14
12/08/14 11:04:01 AM,C,23.203
12/08/14 11:24:01 AM,C,23.703
12/08/14 11:44:01 AM,C,24.078
12/08/14 12:04:01 PM,C,23.64
12/08/14 12:24:01 PM,C,23.828
12/08/14 12:44:01 PM,C,24.016
12/08/14 01:04:01 PM,C,23.39
12/08/14 01:24:01 PM,C,23.515
12/08/14 01:44:01 PM,C,22.765
12/08/14 02:04:01 PM,C,22.077
12/08/14 02:24:01 PM,C,22.64
12/08/14 02:44:01 PM,C,21.639
12/08/14 03:04:01 PM,C,21.702
12/08/14 03:24:01 PM,C,21.764
12/08/14 03:44:01 PM,C,20.951
12/08/14 04:04:01 PM,C,20.763
12/08/14 04:24:01 PM,C,20.638
12/08/14 04:44:01 PM,C,20.137
12/08/14 05:04:01 PM,C,19.699
12/08/14 05:24:01 PM,C,19.699
12/08/14 05:44:01 PM,C,19.511
12/08/14 06:04:01 PM,C,18.885
12/08/14 06:24:01 PM,C,18.885
12/08/14 06:44:01 PM,C,18.697
12/08/14 07:04:01 PM,C,18.259
12/08/14 07:24:01 PM,C,17.758
12/08/14 07:44:01 PM,C,17.445
12/08/14 08:04:01 PM,C,17.132
12/08/14 08:24:01 PM,C,17.069
12/08/14 08:44:01 PM,C,16.818
12/08/14 09:04:01 PM,C,16.756
12/08/14 09:24:01 PM,C,16.693
12/08/14 09:44:01 PM,C,16.505
12/08/14 10:04:01 PM,C,16.693
12/08/14 10:24:01 PM,C,16.505
12/08/14 10:44:01 PM,C,16.38
12/08/14 11:04:01 PM,C,16.442
12/08/14 11:24:01 PM,C,16.442
12/08/14 11:44:01 PM,C,17.382
13/08/14 12:04:01 AM,C,17.695
13/08/14 12:24:01 AM,C,17.883
13/08/14 12:44:01 AM,C,17.883
13/08/14 01:04:01 AM,C,17.883
13/08/14 01:24:01 AM,C,17.821
13/08/14 01:44:01 AM,C,17.695
13/08/14 02:04:01 AM,C,17.633
13/08/14 02:24:01 AM,C,17.445
13/08/14 02:44:01 AM,C,17.132
13/08/14 03:04:01 AM,C,17.382
13/08/14 03:24:01 AM,C,17.883
13/08/14 03:44:01 AM,C,17.821
13/08/14 04:04:01 AM,C,17.695
13/08/14 04:24:01 AM,C,17.57
13/08/14 04:44:01 AM,C,17.006
13/08/14 05:04:01 AM,C,16.317
13/08/14 05:24:01 AM,C,16.129
13/08/14 05:44:01 AM,C,16.254
13/08/14 06:04:01 AM,C,16.818
13/08/14 06:24:01 AM,C,17.821
13/08/14 06:44:01 AM,C,19.01
13/08/14 07:04:01 AM,C,20.075
13/08/14 07:24:01 AM,C,20.763
13/08/14 07:44:01 AM,C,21.577
13/08/14 08:04:01 AM,C,22.702
13/08/14 08:24:01 AM,C,23.328
13/08/14 08:44:01 AM,C,24.516
13/08/14 09:04:01 AM,C,25.578
13/08/14 09:24:01 AM,C,26.265
13/08/14 09:44:01 AM,C,25.891
13/08/14 10:04:01 AM,C,25.766
13/08/14 10:24:01 AM,C,27.015
13/08/14 10:44:01 AM,C,25.953
13/08/14 11:04:01 AM,C,27.202
13/08/14 11:24:01 AM,C,27.702
13/08/14 11:44:01 AM,C,29.7
13/08/14 12:04:01 PM,C,29.512
13/08/14 12:24:01 PM,C,27.764
13/08/14 12:44:01 PM,C,28.202
13/08/14 01:04:01 PM,C,26.703
13/08/14 01:24:01 PM,C,28.014
13/08/14 01:44:01 PM,C,28.264
13/08/14 02:04:01 PM,C,28.514
13/08/14 02:24:01 PM,C,26.703
13/08/14 02:44:01 PM,C,25.828
13/08/14 03:04:01 PM,C,23.703
13/08/14 03:24:01 PM,C,22.515
13/08/14 03:44:01 PM,C,23.203
13/08/14 04:04:01 PM,C,23.078
13/08/14 04:24:01 PM,C,22.828
13/08/14 04:44:01 PM,C,21.577
13/08/14 05:04:01 PM,C,20.826
13/08/14 05:24:01 PM,C,20.575
13/08/14 05:44:01 PM,C,20.388
13/08/14 06:04:01 PM,C,19.699
13/08/14 06:24:01 PM,C,19.198
13/08/14 06:44:01 PM,C,18.948
13/08/14 07:04:01 PM,C,18.384
13/08/14 07:24:01 PM,C,18.259
13/08/14 07:44:01 PM,C,19.136
13/08/14 08:04:01 PM,C,18.76
13/08/14 08:24:01 PM,C,17.946
13/08/14 08:44:01 PM,C,17.821
