1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 750000003382B041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:48:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:18:01 CST 2014
Total Mission Samples:  2054
Total Device Samples:  8884
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:18:01,C,24.998
23/06/14 10:23:01,C,25.186
23/06/14 10:28:01,C,25.311
23/06/14 10:33:01,C,25.373
23/06/14 10:38:01,C,25.498
23/06/14 10:43:01,C,25.686
23/06/14 10:48:01,C,25.623
23/06/14 10:53:01,C,25.873
23/06/14 10:58:01,C,26.061
23/06/14 11:03:01,C,26.373
23/06/14 11:08:01,C,26.435
23/06/14 11:13:01,C,26.498
23/06/14 11:18:01,C,26.623
23/06/14 11:23:01,C,26.623
23/06/14 11:28:01,C,26.56
23/06/14 11:33:01,C,26.435
23/06/14 11:38:01,C,26.186
23/06/14 11:43:01,C,25.936
23/06/14 11:48:01,C,26.186
23/06/14 11:53:01,C,26.061
23/06/14 11:58:01,C,25.811
23/06/14 12:03:01,C,25.561
23/06/14 12:08:01,C,25.498
23/06/14 12:13:01,C,25.123
23/06/14 12:18:01,C,24.498
23/06/14 12:23:01,C,23.935
23/06/14 12:28:01,C,23.81
23/06/14 12:33:01,C,23.685
23/06/14 12:38:01,C,23.748
23/06/14 12:43:01,C,23.748
23/06/14 12:48:01,C,23.748
23/06/14 12:53:01,C,23.873
23/06/14 12:58:01,C,23.873
23/06/14 13:03:01,C,23.873
23/06/14 13:08:01,C,23.873
23/06/14 13:13:01,C,23.935
23/06/14 13:18:01,C,23.998
23/06/14 13:23:01,C,23.998
23/06/14 13:28:01,C,23.998
23/06/14 13:33:01,C,23.998
23/06/14 13:38:01,C,23.935
23/06/14 13:43:01,C,23.998
23/06/14 13:48:01,C,24.248
23/06/14 13:53:01,C,24.435
23/06/14 13:58:01,C,24.623
23/06/14 14:03:01,C,24.685
23/06/14 14:08:01,C,24.81
23/06/14 14:13:01,C,24.748
23/06/14 14:18:01,C,24.873
23/06/14 14:23:01,C,24.873
23/06/14 14:28:01,C,24.935
23/06/14 14:33:01,C,25.06
23/06/14 14:38:01,C,25.186
23/06/14 14:43:01,C,25.186
23/06/14 14:48:01,C,25.123
23/06/14 14:53:01,C,24.935
23/06/14 14:58:01,C,24.81
23/06/14 15:03:01,C,24.685
23/06/14 15:08:01,C,24.56
23/06/14 15:13:01,C,24.498
23/06/14 15:18:01,C,24.498
23/06/14 15:23:01,C,24.498
23/06/14 15:28:01,C,24.56
23/06/14 15:33:01,C,24.498
23/06/14 15:38:01,C,24.435
23/06/14 15:43:01,C,24.498
23/06/14 15:48:01,C,24.498
23/06/14 15:53:01,C,24.498
23/06/14 15:58:01,C,24.435
23/06/14 16:03:01,C,24.373
23/06/14 16:08:01,C,24.06
23/06/14 16:13:01,C,23.685
23/06/14 16:18:01,C,23.497
23/06/14 16:23:01,C,23.372
23/06/14 16:28:01,C,23.122
23/06/14 16:33:01,C,22.997
23/06/14 16:38:01,C,22.809
23/06/14 16:43:01,C,22.434
23/06/14 16:48:01,C,22.559
23/06/14 16:53:01,C,22.497
23/06/14 16:58:01,C,22.434
23/06/14 17:03:01,C,22.309
23/06/14 17:08:01,C,22.309
23/06/14 17:13:01,C,22.246
23/06/14 17:18:01,C,22.184
23/06/14 17:23:01,C,22.121
23/06/14 17:28:01,C,22.121
23/06/14 17:33:01,C,22.059
23/06/14 17:38:01,C,22.059
23/06/14 17:43:01,C,21.996
23/06/14 17:48:01,C,21.934
23/06/14 17:53:01,C,21.934
23/06/14 17:58:01,C,21.934
23/06/14 18:03:01,C,21.871
23/06/14 18:08:01,C,21.871
23/06/14 18:13:01,C,21.808
23/06/14 18:18:01,C,21.746
23/06/14 18:23:01,C,21.746
23/06/14 18:28:01,C,21.746
23/06/14 18:33:01,C,21.746
23/06/14 18:38:01,C,21.808
23/06/14 18:43:01,C,21.808
23/06/14 18:48:01,C,21.871
23/06/14 18:53:01,C,21.871
23/06/14 18:58:01,C,21.871
23/06/14 19:03:01,C,21.871
23/06/14 19:08:01,C,21.871
23/06/14 19:13:01,C,21.871
23/06/14 19:18:01,C,21.871
23/06/14 19:23:01,C,21.871
23/06/14 19:28:01,C,21.871
23/06/14 19:33:01,C,21.871
23/06/14 19:38:01,C,21.808
23/06/14 19:43:01,C,21.808
23/06/14 19:48:01,C,21.746
23/06/14 19:53:01,C,21.746
23/06/14 19:58:01,C,21.746
23/06/14 20:03:01,C,21.746
23/06/14 20:08:01,C,21.683
23/06/14 20:13:01,C,21.683
23/06/14 20:18:01,C,21.621
23/06/14 20:23:01,C,21.621
23/06/14 20:28:01,C,21.558
23/06/14 20:33:01,C,21.558
23/06/14 20:38:01,C,21.496
23/06/14 20:43:01,C,21.496
23/06/14 20:48:01,C,21.496
23/06/14 20:53:01,C,21.496
23/06/14 20:58:01,C,21.496
23/06/14 21:03:01,C,21.496
23/06/14 21:08:01,C,21.496
23/06/14 21:13:01,C,21.496
23/06/14 21:18:01,C,21.433
23/06/14 21:23:01,C,21.433
23/06/14 21:28:01,C,21.37
23/06/14 21:33:01,C,21.308
23/06/14 21:38:01,C,21.308
23/06/14 21:43:01,C,21.308
23/06/14 21:48:01,C,21.245
23/06/14 21:53:01,C,21.308
23/06/14 21:58:01,C,21.245
23/06/14 22:03:01,C,21.183
23/06/14 22:08:01,C,21.183
23/06/14 22:13:01,C,21.183
23/06/14 22:18:01,C,21.12
23/06/14 22:23:01,C,21.12
23/06/14 22:28:01,C,21.057
23/06/14 22:33:01,C,21.057
23/06/14 22:38:01,C,20.995
23/06/14 22:43:01,C,20.932
23/06/14 22:48:01,C,20.87
23/06/14 22:53:01,C,20.87
23/06/14 22:58:01,C,20.87
23/06/14 23:03:01,C,20.87
23/06/14 23:08:01,C,20.932
23/06/14 23:13:01,C,20.87
23/06/14 23:18:01,C,20.807
23/06/14 23:23:01,C,20.807
23/06/14 23:28:01,C,20.745
23/06/14 23:33:01,C,20.682
23/06/14 23:38:01,C,20.682
23/06/14 23:43:01,C,20.682
23/06/14 23:48:01,C,20.682
23/06/14 23:53:01,C,20.682
23/06/14 23:58:01,C,20.619
24/06/14 00:03:01,C,20.557
24/06/14 00:08:01,C,20.557
24/06/14 00:13:01,C,20.557
24/06/14 00:18:01,C,20.557
24/06/14 00:23:01,C,20.494
24/06/14 00:28:01,C,20.432
24/06/14 00:33:01,C,20.369
24/06/14 00:38:01,C,20.306
24/06/14 00:43:01,C,20.181
24/06/14 00:48:01,C,20.181
24/06/14 00:53:01,C,20.119
24/06/14 00:58:01,C,20.056
24/06/14 01:03:01,C,20.056
24/06/14 01:08:01,C,20.056
24/06/14 01:13:01,C,20.056
24/06/14 01:18:01,C,19.993
24/06/14 01:23:01,C,19.931
24/06/14 01:28:01,C,19.931
24/06/14 01:33:01,C,19.868
24/06/14 01:38:01,C,19.868
24/06/14 01:43:01,C,19.868
24/06/14 01:48:01,C,19.868
24/06/14 01:53:01,C,19.806
24/06/14 01:58:01,C,19.743
24/06/14 02:03:01,C,19.743
24/06/14 02:08:01,C,19.68
24/06/14 02:13:01,C,19.68
24/06/14 02:18:01,C,19.68
24/06/14 02:23:01,C,19.618
24/06/14 02:28:01,C,19.618
24/06/14 02:33:01,C,19.618
24/06/14 02:38:01,C,19.555
24/06/14 02:43:01,C,19.43
24/06/14 02:48:01,C,19.43
24/06/14 02:53:01,C,19.43
24/06/14 02:58:01,C,19.43
24/06/14 03:03:01,C,19.43
24/06/14 03:08:01,C,19.43
24/06/14 03:13:01,C,19.43
24/06/14 03:18:01,C,19.43
24/06/14 03:23:01,C,19.367
24/06/14 03:28:01,C,19.305
24/06/14 03:33:01,C,19.305
24/06/14 03:38:01,C,19.242
24/06/14 03:43:01,C,19.179
24/06/14 03:48:01,C,19.179
24/06/14 03:53:01,C,19.179
24/06/14 03:58:01,C,19.117
24/06/14 04:03:01,C,19.117
24/06/14 04:08:01,C,19.054
24/06/14 04:13:01,C,19.054
24/06/14 04:18:01,C,19.054
24/06/14 04:23:01,C,18.992
24/06/14 04:28:01,C,18.992
24/06/14 04:33:01,C,19.054
24/06/14 04:38:01,C,19.054
24/06/14 04:43:01,C,19.054
24/06/14 04:48:01,C,19.117
24/06/14 04:53:01,C,19.117
24/06/14 04:58:01,C,19.117
24/06/14 05:03:01,C,19.054
24/06/14 05:08:01,C,19.117
24/06/14 05:13:01,C,19.117
24/06/14 05:18:01,C,19.117
24/06/14 05:23:01,C,19.054
24/06/14 05:28:01,C,18.992
24/06/14 05:33:01,C,18.992
24/06/14 05:38:01,C,18.992
24/06/14 05:43:01,C,18.929
24/06/14 05:48:01,C,18.929
24/06/14 05:53:01,C,18.929
24/06/14 05:58:01,C,18.992
24/06/14 06:03:01,C,18.992
24/06/14 06:08:01,C,19.054
24/06/14 06:13:01,C,19.054
24/06/14 06:18:01,C,19.117
24/06/14 06:23:01,C,19.117
24/06/14 06:28:01,C,19.179
24/06/14 06:33:01,C,19.179
24/06/14 06:38:01,C,19.242
24/06/14 06:43:01,C,19.367
24/06/14 06:48:01,C,19.43
24/06/14 06:53:01,C,19.555
24/06/14 06:58:01,C,19.68
24/06/14 07:03:01,C,19.806
24/06/14 07:08:01,C,20.181
24/06/14 07:13:01,C,20.056
24/06/14 07:18:01,C,20.119
24/06/14 07:23:01,C,20.119
24/06/14 07:28:01,C,20.244
24/06/14 07:33:01,C,20.306
24/06/14 07:38:01,C,20.244
24/06/14 07:43:01,C,20.369
24/06/14 07:48:01,C,20.557
24/06/14 07:53:01,C,20.619
24/06/14 07:58:01,C,20.807
24/06/14 08:03:01,C,21.057
24/06/14 08:08:01,C,21.308
24/06/14 08:13:01,C,21.558
24/06/14 08:18:01,C,21.683
24/06/14 08:23:01,C,21.871
24/06/14 08:28:01,C,22.121
24/06/14 08:33:01,C,22.371
24/06/14 08:38:01,C,22.622
24/06/14 08:43:01,C,22.872
24/06/14 08:48:01,C,23.06
24/06/14 08:53:01,C,23.435
24/06/14 08:58:01,C,23.685
24/06/14 09:03:01,C,23.998
24/06/14 09:08:01,C,24.31
24/06/14 09:13:01,C,24.498
24/06/14 09:18:01,C,24.685
24/06/14 09:23:01,C,24.998
24/06/14 09:28:01,C,25.186
24/06/14 09:33:01,C,25.498
24/06/14 09:38:01,C,25.811
24/06/14 09:43:01,C,26.186
24/06/14 09:48:01,C,26.435
24/06/14 09:53:01,C,26.685
24/06/14 09:58:01,C,26.623
24/06/14 10:03:01,C,26.935
24/06/14 10:08:01,C,26.873
24/06/14 10:13:01,C,26.623
24/06/14 10:18:01,C,26.498
24/06/14 10:23:01,C,26.56
24/06/14 10:28:01,C,26.623
24/06/14 10:33:01,C,26.56
24/06/14 10:38:01,C,26.56
24/06/14 10:43:01,C,26.873
24/06/14 10:48:01,C,27.185
24/06/14 10:53:01,C,27.248
24/06/14 10:58:01,C,27.373
24/06/14 11:03:01,C,27.56
24/06/14 11:08:01,C,27.623
24/06/14 11:13:01,C,27.498
24/06/14 11:18:01,C,27.435
24/06/14 11:23:01,C,27.31
24/06/14 11:28:01,C,27.248
24/06/14 11:33:01,C,26.998
24/06/14 11:38:01,C,26.873
24/06/14 11:43:01,C,26.81
24/06/14 11:48:01,C,26.685
24/06/14 11:53:01,C,26.498
24/06/14 11:58:01,C,26.435
24/06/14 12:03:01,C,26.498
24/06/14 12:08:01,C,26.435
24/06/14 12:13:01,C,26.435
24/06/14 12:18:01,C,26.56
24/06/14 12:23:01,C,26.748
24/06/14 12:28:01,C,26.81
24/06/14 12:33:01,C,26.81
24/06/14 12:38:01,C,26.685
24/06/14 12:43:01,C,26.56
24/06/14 12:48:01,C,26.498
24/06/14 12:53:01,C,26.248
24/06/14 12:58:01,C,25.811
24/06/14 13:03:01,C,25.561
24/06/14 13:08:01,C,25.06
24/06/14 13:13:01,C,24.935
24/06/14 13:18:01,C,24.748
24/06/14 13:23:01,C,24.623
24/06/14 13:28:01,C,24.498
24/06/14 13:33:01,C,24.185
24/06/14 13:38:01,C,24.31
24/06/14 13:43:01,C,24.123
24/06/14 13:48:01,C,23.873
24/06/14 13:53:01,C,23.748
24/06/14 13:58:01,C,23.56
24/06/14 14:03:01,C,23.247
24/06/14 14:08:01,C,22.872
24/06/14 14:13:01,C,22.622
24/06/14 14:18:01,C,22.434
24/06/14 14:23:01,C,22.121
24/06/14 14:28:01,C,21.934
24/06/14 14:33:01,C,21.746
24/06/14 14:38:01,C,21.496
24/06/14 14:43:01,C,21.37
24/06/14 14:48:01,C,21.308
24/06/14 14:53:01,C,21.245
24/06/14 14:58:01,C,21.183
24/06/14 15:03:01,C,21.057
24/06/14 15:08:01,C,21.057
24/06/14 15:13:01,C,21.057
24/06/14 15:18:01,C,20.932
24/06/14 15:23:01,C,20.87
24/06/14 15:28:01,C,20.807
24/06/14 15:33:01,C,20.745
24/06/14 15:38:01,C,20.745
24/06/14 15:43:01,C,20.619
24/06/14 15:48:01,C,20.557
24/06/14 15:53:01,C,20.557
24/06/14 15:58:01,C,20.494
24/06/14 16:03:01,C,20.557
24/06/14 16:08:01,C,20.557
24/06/14 16:13:01,C,20.557
24/06/14 16:18:01,C,20.619
24/06/14 16:23:01,C,20.557
24/06/14 16:28:01,C,20.557
24/06/14 16:33:01,C,20.619
24/06/14 16:38:01,C,20.619
24/06/14 16:43:01,C,20.619
24/06/14 16:48:01,C,20.619
24/06/14 16:53:01,C,20.619
24/06/14 16:58:01,C,20.557
24/06/14 17:03:01,C,20.494
24/06/14 17:08:01,C,20.494
24/06/14 17:13:01,C,20.494
24/06/14 17:18:01,C,20.557
24/06/14 17:23:01,C,20.494
24/06/14 17:28:01,C,20.557
24/06/14 17:33:01,C,20.557
24/06/14 17:38:01,C,20.494
24/06/14 17:43:01,C,20.494
24/06/14 17:48:01,C,20.494
24/06/14 17:53:01,C,20.494
24/06/14 17:58:01,C,20.494
24/06/14 18:03:01,C,20.494
24/06/14 18:08:01,C,20.494
24/06/14 18:13:01,C,20.432
24/06/14 18:18:01,C,20.494
24/06/14 18:23:01,C,20.494
24/06/14 18:28:01,C,20.494
24/06/14 18:33:01,C,20.494
24/06/14 18:38:01,C,20.494
24/06/14 18:43:01,C,20.432
24/06/14 18:48:01,C,20.432
24/06/14 18:53:01,C,20.432
24/06/14 18:58:01,C,20.432
24/06/14 19:03:01,C,20.432
24/06/14 19:08:01,C,20.432
24/06/14 19:13:01,C,20.432
24/06/14 19:18:01,C,20.369
24/06/14 19:23:01,C,20.369
24/06/14 19:28:01,C,20.369
24/06/14 19:33:01,C,20.369
24/06/14 19:38:01,C,20.432
24/06/14 19:43:01,C,20.432
24/06/14 19:48:01,C,20.432
24/06/14 19:53:01,C,20.369
24/06/14 19:58:01,C,20.369
24/06/14 20:03:01,C,20.369
24/06/14 20:08:01,C,20.369
24/06/14 20:13:01,C,20.369
24/06/14 20:18:01,C,20.369
24/06/14 20:23:01,C,20.306
24/06/14 20:28:01,C,20.306
24/06/14 20:33:01,C,20.306
24/06/14 20:38:01,C,20.306
24/06/14 20:43:01,C,20.244
24/06/14 20:48:01,C,20.244
24/06/14 20:53:01,C,20.181
24/06/14 20:58:01,C,20.181
24/06/14 21:03:01,C,20.244
24/06/14 21:08:01,C,20.181
24/06/14 21:13:01,C,20.181
24/06/14 21:18:01,C,20.181
24/06/14 21:23:01,C,20.181
24/06/14 21:28:01,C,20.181
24/06/14 21:33:01,C,20.181
24/06/14 21:38:01,C,20.244
24/06/14 21:43:01,C,20.181
24/06/14 21:48:01,C,20.056
24/06/14 21:53:01,C,20.056
24/06/14 21:58:01,C,19.993
24/06/14 22:03:01,C,19.993
24/06/14 22:08:01,C,19.993
24/06/14 22:13:01,C,19.931
24/06/14 22:18:01,C,19.931
24/06/14 22:23:01,C,19.868
24/06/14 22:28:01,C,19.806
24/06/14 22:33:01,C,19.743
24/06/14 22:38:01,C,19.743
24/06/14 22:43:01,C,19.743
24/06/14 22:48:01,C,19.743
24/06/14 22:53:01,C,19.743
24/06/14 22:58:01,C,19.743
24/06/14 23:03:01,C,19.68
24/06/14 23:08:01,C,19.68
24/06/14 23:13:01,C,19.618
24/06/14 23:18:01,C,19.555
24/06/14 23:23:01,C,19.555
24/06/14 23:28:01,C,19.555
24/06/14 23:33:01,C,19.555
24/06/14 23:38:01,C,19.555
24/06/14 23:43:01,C,19.555
24/06/14 23:48:01,C,19.493
24/06/14 23:53:01,C,19.43
24/06/14 23:58:01,C,19.43
25/06/14 00:03:01,C,19.43
25/06/14 00:08:01,C,19.367
25/06/14 00:13:01,C,19.305
25/06/14 00:18:01,C,19.305
25/06/14 00:23:01,C,19.242
25/06/14 00:28:01,C,19.242
25/06/14 00:33:01,C,19.179
25/06/14 00:38:01,C,19.179
25/06/14 00:43:01,C,19.117
25/06/14 00:48:01,C,19.117
25/06/14 00:53:01,C,19.117
25/06/14 00:58:01,C,19.117
25/06/14 01:03:01,C,19.117
25/06/14 01:08:01,C,19.054
25/06/14 01:13:01,C,18.992
25/06/14 01:18:01,C,18.929
25/06/14 01:23:01,C,18.929
25/06/14 01:28:01,C,18.866
25/06/14 01:33:01,C,18.866
25/06/14 01:38:01,C,18.866
25/06/14 01:43:01,C,18.866
25/06/14 01:48:01,C,18.866
25/06/14 01:53:01,C,18.929
25/06/14 01:58:01,C,18.929
25/06/14 02:03:01,C,18.866
25/06/14 02:08:01,C,18.866
25/06/14 02:13:01,C,18.866
25/06/14 02:18:01,C,18.866
25/06/14 02:23:01,C,18.804
25/06/14 02:28:01,C,18.804
25/06/14 02:33:01,C,18.866
25/06/14 02:38:01,C,18.866
25/06/14 02:43:01,C,18.866
25/06/14 02:48:01,C,18.804
25/06/14 02:53:01,C,18.804
25/06/14 02:58:01,C,18.804
25/06/14 03:03:01,C,18.741
25/06/14 03:08:01,C,18.741
25/06/14 03:13:01,C,18.804
25/06/14 03:18:01,C,18.741
25/06/14 03:23:01,C,18.741
25/06/14 03:28:01,C,18.804
25/06/14 03:33:01,C,18.804
25/06/14 03:38:01,C,18.804
25/06/14 03:43:01,C,18.804
25/06/14 03:48:01,C,18.804
25/06/14 03:53:01,C,18.804
25/06/14 03:58:01,C,18.741
25/06/14 04:03:01,C,18.741
25/06/14 04:08:01,C,18.741
25/06/14 04:13:01,C,18.741
25/06/14 04:18:01,C,18.741
25/06/14 04:23:01,C,18.679
25/06/14 04:28:01,C,18.679
25/06/14 04:33:01,C,18.679
25/06/14 04:38:01,C,18.679
25/06/14 04:43:01,C,18.679
25/06/14 04:48:01,C,18.679
25/06/14 04:53:01,C,18.679
25/06/14 04:58:01,C,18.679
25/06/14 05:03:01,C,18.679
25/06/14 05:08:01,C,18.679
25/06/14 05:13:01,C,18.679
25/06/14 05:18:01,C,18.679
25/06/14 05:23:01,C,18.679
25/06/14 05:28:01,C,18.679
25/06/14 05:33:01,C,18.679
25/06/14 05:38:01,C,18.679
25/06/14 05:43:01,C,18.741
25/06/14 05:48:01,C,18.804
25/06/14 05:53:01,C,18.866
25/06/14 05:58:01,C,18.866
25/06/14 06:03:01,C,18.929
25/06/14 06:08:01,C,18.992
25/06/14 06:13:01,C,19.179
25/06/14 06:18:01,C,19.242
25/06/14 06:23:01,C,19.367
25/06/14 06:28:01,C,19.493
25/06/14 06:33:01,C,19.806
25/06/14 06:38:01,C,20.119
25/06/14 06:43:01,C,20.369
25/06/14 06:48:01,C,20.494
25/06/14 06:53:01,C,20.745
25/06/14 06:58:01,C,20.932
25/06/14 07:03:01,C,21.12
25/06/14 07:08:01,C,22.059
25/06/14 07:13:01,C,22.684
25/06/14 07:18:01,C,22.309
25/06/14 07:23:01,C,21.996
25/06/14 07:28:01,C,22.246
25/06/14 07:33:01,C,22.622
25/06/14 07:38:01,C,22.872
25/06/14 07:43:01,C,22.747
25/06/14 07:48:01,C,22.934
25/06/14 07:53:01,C,22.997
25/06/14 07:58:01,C,22.872
25/06/14 08:03:01,C,22.872
25/06/14 08:08:01,C,22.872
25/06/14 08:13:01,C,22.997
25/06/14 08:18:01,C,23.247
25/06/14 08:23:01,C,23.748
25/06/14 08:28:01,C,23.998
25/06/14 08:33:01,C,23.998
25/06/14 08:38:01,C,24.498
25/06/14 08:43:01,C,24.81
25/06/14 08:48:01,C,25.06
25/06/14 08:53:01,C,25.123
25/06/14 08:58:01,C,25.123
25/06/14 09:03:01,C,25.373
25/06/14 09:08:01,C,25.498
25/06/14 09:13:01,C,25.436
25/06/14 09:18:01,C,25.623
25/06/14 09:23:01,C,25.623
25/06/14 09:28:01,C,25.811
25/06/14 09:33:01,C,25.936
