1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6700000033823B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:08:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:48:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10671
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:48:01 PM,%RH,101.741
04/08/14 09:08:01 PM,%RH,101.741
04/08/14 09:28:01 PM,%RH,101.741
04/08/14 09:48:01 PM,%RH,102.209
04/08/14 10:08:01 PM,%RH,102.209
04/08/14 10:28:01 PM,%RH,101.27
04/08/14 10:48:01 PM,%RH,101.27
04/08/14 11:08:01 PM,%RH,102.209
04/08/14 11:28:01 PM,%RH,101.27
04/08/14 11:48:01 PM,%RH,102.209
05/08/14 12:08:01 AM,%RH,102.676
05/08/14 12:28:01 AM,%RH,102.209
05/08/14 12:48:01 AM,%RH,101.741
05/08/14 01:08:01 AM,%RH,102.676
05/08/14 01:28:01 AM,%RH,102.209
05/08/14 01:48:01 AM,%RH,101.741
05/08/14 02:08:01 AM,%RH,102.209
05/08/14 02:28:01 AM,%RH,102.209
05/08/14 02:48:01 AM,%RH,102.676
05/08/14 03:08:01 AM,%RH,102.209
05/08/14 03:28:01 AM,%RH,102.209
05/08/14 03:48:01 AM,%RH,102.676
05/08/14 04:08:01 AM,%RH,102.676
05/08/14 04:28:01 AM,%RH,102.209
05/08/14 04:48:01 AM,%RH,102.209
05/08/14 05:08:01 AM,%RH,102.676
05/08/14 05:28:01 AM,%RH,102.676
05/08/14 05:48:01 AM,%RH,101.741
05/08/14 06:08:01 AM,%RH,102.209
05/08/14 06:28:01 AM,%RH,102.209
05/08/14 06:48:01 AM,%RH,101.741
05/08/14 07:08:01 AM,%RH,101.27
05/08/14 07:28:01 AM,%RH,101.741
05/08/14 07:48:01 AM,%RH,99.373
05/08/14 08:08:01 AM,%RH,101.27
05/08/14 08:28:01 AM,%RH,101.27
05/08/14 08:48:01 AM,%RH,100.798
05/08/14 09:08:01 AM,%RH,100.798
05/08/14 09:28:01 AM,%RH,80.559
05/08/14 09:48:01 AM,%RH,79.477
05/08/14 10:08:01 AM,%RH,75.084
05/08/14 10:28:01 AM,%RH,76.744
05/08/14 10:48:01 AM,%RH,75.639
05/08/14 11:08:01 AM,%RH,74.527
05/08/14 11:28:01 AM,%RH,71.152
05/08/14 11:48:01 AM,%RH,76.192
05/08/14 12:08:01 PM,%RH,79.477
05/08/14 12:28:01 PM,%RH,80.019
05/08/14 12:48:01 PM,%RH,76.192
05/08/14 01:08:01 PM,%RH,73.409
05/08/14 01:28:01 PM,%RH,80.559
05/08/14 01:48:01 PM,%RH,83.234
05/08/14 02:08:01 PM,%RH,81.634
05/08/14 02:28:01 PM,%RH,76.192
05/08/14 02:48:01 PM,%RH,67.14
05/08/14 03:08:01 PM,%RH,71.152
05/08/14 03:28:01 PM,%RH,75.084
05/08/14 03:48:01 PM,%RH,80.559
05/08/14 04:08:01 PM,%RH,77.294
05/08/14 04:28:01 PM,%RH,82.702
05/08/14 04:48:01 PM,%RH,83.764
05/08/14 05:08:01 PM,%RH,86.909
05/08/14 05:28:01 PM,%RH,89.485
05/08/14 05:48:01 PM,%RH,93.021
05/08/14 06:08:01 PM,%RH,94.017
05/08/14 06:28:01 PM,%RH,95.988
05/08/14 06:48:01 PM,%RH,96.476
05/08/14 07:08:01 PM,%RH,96.963
05/08/14 07:28:01 PM,%RH,96.963
05/08/14 07:48:01 PM,%RH,98.414
05/08/14 08:08:01 PM,%RH,98.414
05/08/14 08:28:01 PM,%RH,98.414
05/08/14 08:48:01 PM,%RH,98.414
05/08/14 09:08:01 PM,%RH,97.932
05/08/14 09:28:01 PM,%RH,99.373
05/08/14 09:48:01 PM,%RH,99.85
05/08/14 10:08:01 PM,%RH,98.894
05/08/14 10:28:01 PM,%RH,98.894
05/08/14 10:48:01 PM,%RH,98.414
05/08/14 11:08:01 PM,%RH,98.894
05/08/14 11:28:01 PM,%RH,98.894
05/08/14 11:48:01 PM,%RH,100.325
06/08/14 12:08:01 AM,%RH,99.85
06/08/14 12:28:01 AM,%RH,99.85
06/08/14 12:48:01 AM,%RH,100.325
06/08/14 01:08:01 AM,%RH,100.798
06/08/14 01:28:01 AM,%RH,100.798
06/08/14 01:48:01 AM,%RH,100.798
06/08/14 02:08:01 AM,%RH,101.27
06/08/14 02:28:01 AM,%RH,100.798
06/08/14 02:48:01 AM,%RH,101.27
06/08/14 03:08:01 AM,%RH,101.741
06/08/14 03:28:01 AM,%RH,101.27
06/08/14 03:48:01 AM,%RH,101.741
06/08/14 04:08:01 AM,%RH,101.741
06/08/14 04:28:01 AM,%RH,101.27
06/08/14 04:48:01 AM,%RH,101.741
06/08/14 05:08:01 AM,%RH,101.741
06/08/14 05:28:01 AM,%RH,101.27
06/08/14 05:48:01 AM,%RH,101.27
06/08/14 06:08:01 AM,%RH,100.798
06/08/14 06:28:01 AM,%RH,101.27
06/08/14 06:48:01 AM,%RH,101.27
06/08/14 07:08:01 AM,%RH,100.325
06/08/14 07:28:01 AM,%RH,100.325
06/08/14 07:48:01 AM,%RH,101.741
06/08/14 08:08:01 AM,%RH,101.741
06/08/14 08:28:01 AM,%RH,101.27
06/08/14 08:48:01 AM,%RH,101.741
06/08/14 09:08:01 AM,%RH,101.27
06/08/14 09:28:01 AM,%RH,99.85
06/08/14 09:48:01 AM,%RH,100.798
06/08/14 10:08:01 AM,%RH,99.85
06/08/14 10:28:01 AM,%RH,99.373
06/08/14 10:48:01 AM,%RH,92.521
06/08/14 11:08:01 AM,%RH,83.234
06/08/14 11:28:01 AM,%RH,71.719
06/08/14 11:48:01 AM,%RH,72.847
06/08/14 12:08:01 PM,%RH,78.389
06/08/14 12:28:01 PM,%RH,83.234
06/08/14 12:48:01 PM,%RH,87.945
06/08/14 01:08:01 PM,%RH,88.46
06/08/14 01:28:01 PM,%RH,86.909
06/08/14 01:48:01 PM,%RH,84.819
06/08/14 02:08:01 PM,%RH,85.344
06/08/14 02:28:01 PM,%RH,86.389
06/08/14 02:48:01 PM,%RH,87.945
06/08/14 03:08:01 PM,%RH,83.234
06/08/14 03:28:01 PM,%RH,82.169
06/08/14 03:48:01 PM,%RH,81.634
06/08/14 04:08:01 PM,%RH,86.909
06/08/14 04:28:01 PM,%RH,87.945
06/08/14 04:48:01 PM,%RH,91.011
06/08/14 05:08:01 PM,%RH,92.521
06/08/14 05:28:01 PM,%RH,95.005
06/08/14 05:48:01 PM,%RH,96.963
06/08/14 06:08:01 PM,%RH,97.448
06/08/14 06:28:01 PM,%RH,98.894
06/08/14 06:48:01 PM,%RH,98.894
06/08/14 07:08:01 PM,%RH,99.85
06/08/14 07:28:01 PM,%RH,99.373
06/08/14 07:48:01 PM,%RH,99.85
06/08/14 08:08:01 PM,%RH,99.85
06/08/14 08:28:01 PM,%RH,99.373
06/08/14 08:48:01 PM,%RH,100.325
06/08/14 09:08:01 PM,%RH,100.325
06/08/14 09:28:01 PM,%RH,100.325
06/08/14 09:48:01 PM,%RH,100.325
06/08/14 10:08:01 PM,%RH,100.325
06/08/14 10:28:01 PM,%RH,101.27
06/08/14 10:48:01 PM,%RH,101.27
06/08/14 11:08:01 PM,%RH,101.27
06/08/14 11:28:01 PM,%RH,101.27
06/08/14 11:48:01 PM,%RH,101.27
07/08/14 12:08:01 AM,%RH,100.798
07/08/14 12:28:01 AM,%RH,101.27
07/08/14 12:48:01 AM,%RH,101.741
07/08/14 01:08:01 AM,%RH,101.741
07/08/14 01:28:01 AM,%RH,102.209
07/08/14 01:48:01 AM,%RH,102.209
07/08/14 02:08:01 AM,%RH,101.27
07/08/14 02:28:01 AM,%RH,102.209
07/08/14 02:48:01 AM,%RH,102.209
07/08/14 03:08:01 AM,%RH,102.209
07/08/14 03:28:01 AM,%RH,102.676
07/08/14 03:48:01 AM,%RH,102.209
07/08/14 04:08:01 AM,%RH,102.209
07/08/14 04:28:01 AM,%RH,102.209
07/08/14 04:48:01 AM,%RH,102.209
07/08/14 05:08:01 AM,%RH,102.209
07/08/14 05:28:01 AM,%RH,101.741
07/08/14 05:48:01 AM,%RH,102.676
07/08/14 06:08:01 AM,%RH,101.741
07/08/14 06:28:01 AM,%RH,101.741
07/08/14 06:48:01 AM,%RH,101.741
07/08/14 07:08:01 AM,%RH,102.209
07/08/14 07:28:01 AM,%RH,99.373
07/08/14 07:48:01 AM,%RH,96.963
07/08/14 08:08:01 AM,%RH,86.389
07/08/14 08:28:01 AM,%RH,87.945
07/08/14 08:48:01 AM,%RH,86.909
07/08/14 09:08:01 AM,%RH,87.428
07/08/14 09:28:01 AM,%RH,80.559
07/08/14 09:48:01 AM,%RH,78.934
07/08/14 10:08:01 AM,%RH,77.842
07/08/14 10:28:01 AM,%RH,74.527
07/08/14 10:48:01 AM,%RH,73.409
07/08/14 11:08:01 AM,%RH,68.869
07/08/14 11:28:01 AM,%RH,65.978
07/08/14 11:48:01 AM,%RH,65.395
07/08/14 12:08:01 PM,%RH,73.409
07/08/14 12:28:01 PM,%RH,67.718
07/08/14 12:48:01 PM,%RH,67.14
07/08/14 01:08:01 PM,%RH,65.978
07/08/14 01:28:01 PM,%RH,64.81
07/08/14 01:48:01 PM,%RH,74.527
07/08/14 02:08:01 PM,%RH,70.014
07/08/14 02:28:01 PM,%RH,69.443
07/08/14 02:48:01 PM,%RH,67.14
07/08/14 03:08:01 PM,%RH,69.443
07/08/14 03:28:01 PM,%RH,72.284
07/08/14 03:48:01 PM,%RH,71.152
07/08/14 04:08:01 PM,%RH,70.584
07/08/14 04:28:01 PM,%RH,71.719
07/08/14 04:48:01 PM,%RH,77.842
07/08/14 05:08:01 PM,%RH,84.819
07/08/14 05:28:01 PM,%RH,89.485
07/08/14 05:48:01 PM,%RH,93.52
07/08/14 06:08:01 PM,%RH,96.476
07/08/14 06:28:01 PM,%RH,96.963
07/08/14 06:48:01 PM,%RH,98.894
07/08/14 07:08:01 PM,%RH,97.932
07/08/14 07:28:01 PM,%RH,96.963
07/08/14 07:48:01 PM,%RH,98.894
07/08/14 08:08:01 PM,%RH,98.894
07/08/14 08:28:01 PM,%RH,97.932
07/08/14 08:48:01 PM,%RH,96.963
07/08/14 09:08:01 PM,%RH,97.932
07/08/14 09:28:01 PM,%RH,99.373
07/08/14 09:48:01 PM,%RH,98.894
07/08/14 10:08:01 PM,%RH,99.85
07/08/14 10:28:01 PM,%RH,100.798
07/08/14 10:48:01 PM,%RH,100.325
07/08/14 11:08:01 PM,%RH,100.325
07/08/14 11:28:01 PM,%RH,99.373
07/08/14 11:48:01 PM,%RH,100.325
08/08/14 12:08:01 AM,%RH,100.798
08/08/14 12:28:01 AM,%RH,100.325
08/08/14 12:48:01 AM,%RH,100.325
08/08/14 01:08:01 AM,%RH,98.894
08/08/14 01:28:01 AM,%RH,97.932
08/08/14 01:48:01 AM,%RH,97.932
08/08/14 02:08:01 AM,%RH,98.414
08/08/14 02:28:01 AM,%RH,99.373
08/08/14 02:48:01 AM,%RH,100.325
08/08/14 03:08:01 AM,%RH,100.325
08/08/14 03:28:01 AM,%RH,100.325
08/08/14 03:48:01 AM,%RH,100.325
08/08/14 04:08:01 AM,%RH,100.325
08/08/14 04:28:01 AM,%RH,101.27
08/08/14 04:48:01 AM,%RH,101.27
08/08/14 05:08:01 AM,%RH,101.27
08/08/14 05:28:01 AM,%RH,101.27
08/08/14 05:48:01 AM,%RH,101.27
08/08/14 06:08:01 AM,%RH,100.798
08/08/14 06:28:01 AM,%RH,101.741
08/08/14 06:48:01 AM,%RH,101.741
08/08/14 07:08:01 AM,%RH,101.741
08/08/14 07:28:01 AM,%RH,101.741
08/08/14 07:48:01 AM,%RH,101.27
08/08/14 08:08:01 AM,%RH,101.27
08/08/14 08:28:01 AM,%RH,100.325
08/08/14 08:48:01 AM,%RH,101.27
08/08/14 09:08:01 AM,%RH,101.741
08/08/14 09:28:01 AM,%RH,101.741
08/08/14 09:48:01 AM,%RH,101.27
08/08/14 10:08:01 AM,%RH,101.27
08/08/14 10:28:01 AM,%RH,101.741
08/08/14 10:48:01 AM,%RH,101.741
08/08/14 11:08:01 AM,%RH,100.325
08/08/14 11:28:01 AM,%RH,100.798
08/08/14 11:48:01 AM,%RH,100.798
08/08/14 12:08:01 PM,%RH,99.85
08/08/14 12:28:01 PM,%RH,100.798
08/08/14 12:48:01 PM,%RH,100.325
08/08/14 01:08:01 PM,%RH,100.798
08/08/14 01:28:01 PM,%RH,99.373
08/08/14 01:48:01 PM,%RH,97.932
08/08/14 02:08:01 PM,%RH,99.373
08/08/14 02:28:01 PM,%RH,99.85
08/08/14 02:48:01 PM,%RH,99.85
08/08/14 03:08:01 PM,%RH,99.85
08/08/14 03:28:01 PM,%RH,100.798
08/08/14 03:48:01 PM,%RH,100.798
08/08/14 04:08:01 PM,%RH,100.798
08/08/14 04:28:01 PM,%RH,101.27
08/08/14 04:48:01 PM,%RH,101.741
08/08/14 05:08:01 PM,%RH,102.209
08/08/14 05:28:01 PM,%RH,101.741
08/08/14 05:48:01 PM,%RH,101.741
08/08/14 06:08:01 PM,%RH,101.741
08/08/14 06:28:01 PM,%RH,101.27
08/08/14 06:48:01 PM,%RH,102.209
08/08/14 07:08:01 PM,%RH,101.741
08/08/14 07:28:01 PM,%RH,101.27
08/08/14 07:48:01 PM,%RH,102.209
08/08/14 08:08:01 PM,%RH,102.676
08/08/14 08:28:01 PM,%RH,102.676
08/08/14 08:48:01 PM,%RH,102.209
08/08/14 09:08:01 PM,%RH,101.741
08/08/14 09:28:01 PM,%RH,102.209
08/08/14 09:48:01 PM,%RH,102.676
08/08/14 10:08:01 PM,%RH,102.209
08/08/14 10:28:01 PM,%RH,103.142
08/08/14 10:48:01 PM,%RH,103.142
08/08/14 11:08:01 PM,%RH,102.676
08/08/14 11:28:01 PM,%RH,103.142
08/08/14 11:48:01 PM,%RH,102.676
09/08/14 12:08:01 AM,%RH,102.676
09/08/14 12:28:01 AM,%RH,102.676
09/08/14 12:48:01 AM,%RH,103.142
09/08/14 01:08:01 AM,%RH,103.142
09/08/14 01:28:01 AM,%RH,102.676
09/08/14 01:48:01 AM,%RH,103.142
09/08/14 02:08:01 AM,%RH,103.142
09/08/14 02:28:01 AM,%RH,103.142
09/08/14 02:48:01 AM,%RH,102.676
09/08/14 03:08:01 AM,%RH,103.142
09/08/14 03:28:01 AM,%RH,103.142
09/08/14 03:48:01 AM,%RH,103.142
09/08/14 04:08:01 AM,%RH,103.142
09/08/14 04:28:01 AM,%RH,102.676
09/08/14 04:48:01 AM,%RH,103.142
09/08/14 05:08:01 AM,%RH,102.676
09/08/14 05:28:01 AM,%RH,103.605
09/08/14 05:48:01 AM,%RH,104.067
09/08/14 06:08:01 AM,%RH,103.142
09/08/14 06:28:01 AM,%RH,102.209
09/08/14 06:48:01 AM,%RH,102.676
09/08/14 07:08:01 AM,%RH,102.676
09/08/14 07:28:01 AM,%RH,102.209
09/08/14 07:48:01 AM,%RH,102.209
09/08/14 08:08:01 AM,%RH,102.209
09/08/14 08:28:01 AM,%RH,101.741
09/08/14 08:48:01 AM,%RH,101.27
09/08/14 09:08:01 AM,%RH,100.798
09/08/14 09:28:01 AM,%RH,100.798
09/08/14 09:48:01 AM,%RH,99.373
09/08/14 10:08:01 AM,%RH,98.894
09/08/14 10:28:01 AM,%RH,81.097
09/08/14 10:48:01 AM,%RH,70.584
09/08/14 11:08:01 AM,%RH,67.718
09/08/14 11:28:01 AM,%RH,58.87
09/08/14 11:48:01 AM,%RH,63.046
09/08/14 12:08:01 PM,%RH,59.472
09/08/14 12:28:01 PM,%RH,63.636
09/08/14 12:48:01 PM,%RH,68.294
09/08/14 01:08:01 PM,%RH,72.284
09/08/14 01:28:01 PM,%RH,71.152
09/08/14 01:48:01 PM,%RH,72.847
09/08/14 02:08:01 PM,%RH,77.842
09/08/14 02:28:01 PM,%RH,80.019
09/08/14 02:48:01 PM,%RH,86.389
09/08/14 03:08:01 PM,%RH,92.019
09/08/14 03:28:01 PM,%RH,92.019
09/08/14 03:48:01 PM,%RH,91.011
09/08/14 04:08:01 PM,%RH,91.011
09/08/14 04:28:01 PM,%RH,93.52
09/08/14 04:48:01 PM,%RH,95.497
09/08/14 05:08:01 PM,%RH,95.497
09/08/14 05:28:01 PM,%RH,95.497
09/08/14 05:48:01 PM,%RH,96.963
09/08/14 06:08:01 PM,%RH,97.932
09/08/14 06:28:01 PM,%RH,100.325
09/08/14 06:48:01 PM,%RH,98.894
09/08/14 07:08:01 PM,%RH,98.894
09/08/14 07:28:01 PM,%RH,99.85
09/08/14 07:48:01 PM,%RH,99.373
09/08/14 08:08:01 PM,%RH,98.894
09/08/14 08:28:01 PM,%RH,96.476
09/08/14 08:48:01 PM,%RH,97.932
09/08/14 09:08:01 PM,%RH,98.894
09/08/14 09:28:01 PM,%RH,99.85
09/08/14 09:48:01 PM,%RH,98.894
09/08/14 10:08:01 PM,%RH,99.373
09/08/14 10:28:01 PM,%RH,100.325
09/08/14 10:48:01 PM,%RH,100.325
09/08/14 11:08:01 PM,%RH,100.325
09/08/14 11:28:01 PM,%RH,100.325
09/08/14 11:48:01 PM,%RH,100.325
10/08/14 12:08:01 AM,%RH,100.798
10/08/14 12:28:01 AM,%RH,100.325
10/08/14 12:48:01 AM,%RH,101.27
10/08/14 01:08:01 AM,%RH,100.325
10/08/14 01:28:01 AM,%RH,101.27
10/08/14 01:48:01 AM,%RH,101.27
10/08/14 02:08:01 AM,%RH,100.798
10/08/14 02:28:01 AM,%RH,101.27
10/08/14 02:48:01 AM,%RH,101.27
10/08/14 03:08:01 AM,%RH,101.741
10/08/14 03:28:01 AM,%RH,101.741
10/08/14 03:48:01 AM,%RH,101.741
10/08/14 04:08:01 AM,%RH,101.27
10/08/14 04:28:01 AM,%RH,102.676
10/08/14 04:48:01 AM,%RH,101.741
10/08/14 05:08:01 AM,%RH,101.741
10/08/14 05:28:01 AM,%RH,101.741
10/08/14 05:48:01 AM,%RH,101.741
10/08/14 06:08:01 AM,%RH,101.741
10/08/14 06:28:01 AM,%RH,101.741
10/08/14 06:48:01 AM,%RH,101.27
10/08/14 07:08:01 AM,%RH,99.85
10/08/14 07:28:01 AM,%RH,95.005
10/08/14 07:48:01 AM,%RH,95.988
10/08/14 08:08:01 AM,%RH,87.945
10/08/14 08:28:01 AM,%RH,87.428
10/08/14 08:48:01 AM,%RH,90.504
10/08/14 09:08:01 AM,%RH,92.019
10/08/14 09:28:01 AM,%RH,91.516
10/08/14 09:48:01 AM,%RH,86.389
10/08/14 10:08:01 AM,%RH,81.634
10/08/14 10:28:01 AM,%RH,79.477
10/08/14 10:48:01 AM,%RH,73.409
10/08/14 11:08:01 AM,%RH,72.284
10/08/14 11:28:01 AM,%RH,69.443
10/08/14 11:48:01 AM,%RH,62.454
10/08/14 12:08:01 PM,%RH,64.81
10/08/14 12:28:01 PM,%RH,68.869
10/08/14 12:48:01 PM,%RH,68.294
10/08/14 01:08:01 PM,%RH,61.266
10/08/14 01:28:01 PM,%RH,53.383
10/08/14 01:48:01 PM,%RH,61.266
10/08/14 02:08:01 PM,%RH,60.072
10/08/14 02:28:01 PM,%RH,64.81
10/08/14 02:48:01 PM,%RH,71.152
10/08/14 03:08:01 PM,%RH,73.969
10/08/14 03:28:01 PM,%RH,74.527
10/08/14 03:48:01 PM,%RH,76.192
10/08/14 04:08:01 PM,%RH,78.934
10/08/14 04:28:01 PM,%RH,81.097
10/08/14 04:48:01 PM,%RH,84.819
10/08/14 05:08:01 PM,%RH,93.52
10/08/14 05:28:01 PM,%RH,95.988
10/08/14 05:48:01 PM,%RH,97.932
10/08/14 06:08:01 PM,%RH,98.414
10/08/14 06:28:01 PM,%RH,98.414
10/08/14 06:48:01 PM,%RH,99.373
10/08/14 07:08:01 PM,%RH,98.894
10/08/14 07:28:01 PM,%RH,100.325
10/08/14 07:48:01 PM,%RH,100.325
10/08/14 08:08:01 PM,%RH,100.325
10/08/14 08:28:01 PM,%RH,98.894
10/08/14 08:48:01 PM,%RH,99.373
10/08/14 09:08:01 PM,%RH,98.894
10/08/14 09:28:01 PM,%RH,99.85
10/08/14 09:48:01 PM,%RH,100.325
10/08/14 10:08:01 PM,%RH,100.798
10/08/14 10:28:01 PM,%RH,100.798
10/08/14 10:48:01 PM,%RH,101.27
10/08/14 11:08:01 PM,%RH,101.27
10/08/14 11:28:01 PM,%RH,101.741
10/08/14 11:48:01 PM,%RH,101.27
11/08/14 12:08:01 AM,%RH,100.325
11/08/14 12:28:01 AM,%RH,100.798
11/08/14 12:48:01 AM,%RH,101.27
11/08/14 01:08:01 AM,%RH,101.27
11/08/14 01:28:01 AM,%RH,101.27
11/08/14 01:48:01 AM,%RH,101.27
11/08/14 02:08:01 AM,%RH,100.798
11/08/14 02:28:01 AM,%RH,101.741
11/08/14 02:48:01 AM,%RH,100.325
11/08/14 03:08:01 AM,%RH,102.209
11/08/14 03:28:01 AM,%RH,102.209
11/08/14 03:48:01 AM,%RH,101.741
11/08/14 04:08:01 AM,%RH,100.798
11/08/14 04:28:01 AM,%RH,102.209
11/08/14 04:48:01 AM,%RH,102.209
11/08/14 05:08:01 AM,%RH,101.741
11/08/14 05:28:01 AM,%RH,101.741
11/08/14 05:48:01 AM,%RH,101.27
11/08/14 06:08:01 AM,%RH,100.325
11/08/14 06:28:01 AM,%RH,101.27
11/08/14 06:48:01 AM,%RH,99.85
11/08/14 07:08:01 AM,%RH,98.894
11/08/14 07:28:01 AM,%RH,98.894
11/08/14 07:48:01 AM,%RH,97.932
11/08/14 08:08:01 AM,%RH,95.497
11/08/14 08:28:01 AM,%RH,92.521
11/08/14 08:48:01 AM,%RH,91.516
11/08/14 09:08:01 AM,%RH,89.485
11/08/14 09:28:01 AM,%RH,87.945
11/08/14 09:48:01 AM,%RH,84.819
11/08/14 10:08:01 AM,%RH,81.097
11/08/14 10:28:01 AM,%RH,75.084
11/08/14 10:48:01 AM,%RH,76.744
11/08/14 11:08:01 AM,%RH,77.842
11/08/14 11:28:01 AM,%RH,73.969
11/08/14 11:48:01 AM,%RH,71.719
11/08/14 12:08:01 PM,%RH,62.454
11/08/14 12:28:01 PM,%RH,61.266
11/08/14 12:48:01 PM,%RH,64.224
11/08/14 01:08:01 PM,%RH,67.718
11/08/14 01:28:01 PM,%RH,55.838
11/08/14 01:48:01 PM,%RH,55.838
11/08/14 02:08:01 PM,%RH,58.267
11/08/14 02:28:01 PM,%RH,60.072
11/08/14 02:48:01 PM,%RH,60.67
11/08/14 03:08:01 PM,%RH,74.527
11/08/14 03:28:01 PM,%RH,79.477
11/08/14 03:48:01 PM,%RH,91.516
11/08/14 04:08:01 PM,%RH,97.448
11/08/14 04:28:01 PM,%RH,97.932
11/08/14 04:48:01 PM,%RH,96.476
11/08/14 05:08:01 PM,%RH,96.963
11/08/14 05:28:01 PM,%RH,97.932
11/08/14 05:48:01 PM,%RH,99.85
11/08/14 06:08:01 PM,%RH,101.27
11/08/14 06:28:01 PM,%RH,100.798
11/08/14 06:48:01 PM,%RH,99.85
11/08/14 07:08:01 PM,%RH,99.373
11/08/14 07:28:01 PM,%RH,100.325
11/08/14 07:48:01 PM,%RH,100.798
11/08/14 08:08:01 PM,%RH,100.325
11/08/14 08:28:01 PM,%RH,101.27
11/08/14 08:48:01 PM,%RH,101.741
11/08/14 09:08:01 PM,%RH,101.27
11/08/14 09:28:01 PM,%RH,101.741
11/08/14 09:48:01 PM,%RH,101.741
11/08/14 10:08:01 PM,%RH,101.27
11/08/14 10:28:01 PM,%RH,101.27
11/08/14 10:48:01 PM,%RH,102.209
11/08/14 11:08:01 PM,%RH,102.209
11/08/14 11:28:01 PM,%RH,102.209
11/08/14 11:48:01 PM,%RH,102.209
12/08/14 12:08:01 AM,%RH,101.741
12/08/14 12:28:01 AM,%RH,102.209
12/08/14 12:48:01 AM,%RH,102.209
12/08/14 01:08:01 AM,%RH,101.741
12/08/14 01:28:01 AM,%RH,102.209
12/08/14 01:48:01 AM,%RH,102.676
12/08/14 02:08:01 AM,%RH,101.741
12/08/14 02:28:01 AM,%RH,101.741
12/08/14 02:48:01 AM,%RH,102.209
12/08/14 03:08:01 AM,%RH,102.209
12/08/14 03:28:01 AM,%RH,102.676
12/08/14 03:48:01 AM,%RH,101.741
12/08/14 04:08:01 AM,%RH,102.209
12/08/14 04:28:01 AM,%RH,102.209
12/08/14 04:48:01 AM,%RH,102.676
12/08/14 05:08:01 AM,%RH,102.676
12/08/14 05:28:01 AM,%RH,102.676
12/08/14 05:48:01 AM,%RH,101.27
12/08/14 06:08:01 AM,%RH,103.142
12/08/14 06:28:01 AM,%RH,102.209
12/08/14 06:48:01 AM,%RH,102.209
12/08/14 07:08:01 AM,%RH,102.209
12/08/14 07:28:01 AM,%RH,101.741
12/08/14 07:48:01 AM,%RH,101.741
12/08/14 08:08:01 AM,%RH,102.209
12/08/14 08:28:01 AM,%RH,102.209
12/08/14 08:48:01 AM,%RH,101.741
12/08/14 09:08:01 AM,%RH,101.741
12/08/14 09:28:01 AM,%RH,102.209
12/08/14 09:48:01 AM,%RH,101.27
12/08/14 10:08:01 AM,%RH,101.27
12/08/14 10:28:01 AM,%RH,101.27
12/08/14 10:48:01 AM,%RH,100.798
12/08/14 11:08:01 AM,%RH,99.85
12/08/14 11:28:01 AM,%RH,100.325
12/08/14 11:48:01 AM,%RH,98.414
12/08/14 12:08:01 PM,%RH,98.414
12/08/14 12:28:01 PM,%RH,96.476
12/08/14 12:48:01 PM,%RH,88.46
12/08/14 01:08:01 PM,%RH,86.389
12/08/14 01:28:01 PM,%RH,89.995
12/08/14 01:48:01 PM,%RH,92.521
12/08/14 02:08:01 PM,%RH,94.017
12/08/14 02:28:01 PM,%RH,94.512
12/08/14 02:48:01 PM,%RH,93.021
12/08/14 03:08:01 PM,%RH,87.945
12/08/14 03:28:01 PM,%RH,86.389
12/08/14 03:48:01 PM,%RH,85.344
12/08/14 04:08:01 PM,%RH,87.945
12/08/14 04:28:01 PM,%RH,89.485
12/08/14 04:48:01 PM,%RH,91.011
12/08/14 05:08:01 PM,%RH,92.521
12/08/14 05:28:01 PM,%RH,93.021
12/08/14 05:48:01 PM,%RH,95.988
12/08/14 06:08:01 PM,%RH,98.414
12/08/14 06:28:01 PM,%RH,99.373
12/08/14 06:48:01 PM,%RH,99.373
12/08/14 07:08:01 PM,%RH,99.85
12/08/14 07:28:01 PM,%RH,100.325
12/08/14 07:48:01 PM,%RH,100.325
12/08/14 08:08:01 PM,%RH,101.741
12/08/14 08:28:01 PM,%RH,100.798
12/08/14 08:48:01 PM,%RH,100.798
12/08/14 09:08:01 PM,%RH,100.325
12/08/14 09:28:01 PM,%RH,101.27
12/08/14 09:48:01 PM,%RH,100.325
12/08/14 10:08:01 PM,%RH,101.741
12/08/14 10:28:01 PM,%RH,101.741
12/08/14 10:48:01 PM,%RH,101.27
12/08/14 11:08:01 PM,%RH,101.27
12/08/14 11:28:01 PM,%RH,101.27
12/08/14 11:48:01 PM,%RH,102.209
13/08/14 12:08:01 AM,%RH,101.741
13/08/14 12:28:01 AM,%RH,101.741
13/08/14 12:48:01 AM,%RH,102.209
13/08/14 01:08:01 AM,%RH,102.209
13/08/14 01:28:01 AM,%RH,101.27
13/08/14 01:48:01 AM,%RH,101.27
13/08/14 02:08:01 AM,%RH,101.741
13/08/14 02:28:01 AM,%RH,101.741
