1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C4000000337D1F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:17:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:37:01 CST 2014
Total Mission Samples:  3869
Total Device Samples:  10828
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:37:01 PM,%RH,101.142
04/08/14 07:57:01 PM,%RH,101.142
04/08/14 08:17:01 PM,%RH,101.64
04/08/14 08:37:01 PM,%RH,101.64
04/08/14 08:57:01 PM,%RH,101.142
04/08/14 09:17:01 PM,%RH,100.143
04/08/14 09:37:01 PM,%RH,101.64
04/08/14 09:57:01 PM,%RH,101.64
04/08/14 10:17:01 PM,%RH,101.64
04/08/14 10:37:01 PM,%RH,101.142
04/08/14 10:57:01 PM,%RH,102.136
04/08/14 11:17:01 PM,%RH,102.136
04/08/14 11:37:01 PM,%RH,102.136
04/08/14 11:57:01 PM,%RH,102.631
05/08/14 12:17:01 AM,%RH,102.631
05/08/14 12:37:01 AM,%RH,102.631
05/08/14 12:57:01 AM,%RH,102.631
05/08/14 01:17:01 AM,%RH,102.631
05/08/14 01:37:01 AM,%RH,102.136
05/08/14 01:57:01 AM,%RH,103.124
05/08/14 02:17:01 AM,%RH,101.64
05/08/14 02:37:01 AM,%RH,102.136
05/08/14 02:57:01 AM,%RH,103.124
05/08/14 03:17:01 AM,%RH,101.64
05/08/14 03:37:01 AM,%RH,102.136
05/08/14 03:57:01 AM,%RH,103.124
05/08/14 04:17:01 AM,%RH,102.136
05/08/14 04:37:01 AM,%RH,103.124
05/08/14 04:57:01 AM,%RH,102.631
05/08/14 05:17:01 AM,%RH,102.631
05/08/14 05:37:01 AM,%RH,102.631
05/08/14 05:57:01 AM,%RH,102.136
05/08/14 06:17:01 AM,%RH,101.64
05/08/14 06:37:01 AM,%RH,98.634
05/08/14 06:57:01 AM,%RH,98.129
05/08/14 07:17:01 AM,%RH,93.519
05/08/14 07:37:01 AM,%RH,86.132
05/08/14 07:57:01 AM,%RH,82.341
05/08/14 08:17:01 AM,%RH,75.69
05/08/14 08:37:01 AM,%RH,71.149
05/08/14 08:57:01 AM,%RH,64.766
05/08/14 09:17:01 AM,%RH,61.812
05/08/14 09:37:01 AM,%RH,54.584
05/08/14 09:57:01 AM,%RH,60.023
05/08/14 10:17:01 AM,%RH,62.405
05/08/14 10:37:01 AM,%RH,60.023
05/08/14 10:57:01 AM,%RH,65.353
05/08/14 11:17:01 AM,%RH,66.523
05/08/14 11:37:01 AM,%RH,65.939
05/08/14 11:57:01 AM,%RH,67.106
05/08/14 12:17:01 PM,%RH,68.268
05/08/14 12:37:01 PM,%RH,63.588
05/08/14 12:57:01 PM,%RH,52.747
05/08/14 01:17:01 PM,%RH,49.659
05/08/14 01:37:01 PM,%RH,65.353
05/08/14 01:57:01 PM,%RH,71.149
05/08/14 02:17:01 PM,%RH,65.353
05/08/14 02:37:01 PM,%RH,53.361
05/08/14 02:57:01 PM,%RH,56.409
05/08/14 03:17:01 PM,%RH,53.973
05/08/14 03:37:01 PM,%RH,61.812
05/08/14 03:57:01 PM,%RH,70.576
05/08/14 04:17:01 PM,%RH,73.997
05/08/14 04:37:01 PM,%RH,75.127
05/08/14 04:57:01 PM,%RH,83.431
05/08/14 05:17:01 PM,%RH,88.269
05/08/14 05:37:01 PM,%RH,91.958
05/08/14 05:57:01 PM,%RH,96.604
05/08/14 06:17:01 PM,%RH,97.114
05/08/14 06:37:01 PM,%RH,98.634
05/08/14 06:57:01 PM,%RH,98.634
05/08/14 07:17:01 PM,%RH,99.139
05/08/14 07:37:01 PM,%RH,97.622
05/08/14 07:57:01 PM,%RH,95.581
05/08/14 08:17:01 PM,%RH,95.581
05/08/14 08:37:01 PM,%RH,95.067
05/08/14 08:57:01 PM,%RH,95.067
05/08/14 09:17:01 PM,%RH,97.622
05/08/14 09:37:01 PM,%RH,98.634
05/08/14 09:57:01 PM,%RH,97.114
05/08/14 10:17:01 PM,%RH,97.622
05/08/14 10:37:01 PM,%RH,99.139
05/08/14 10:57:01 PM,%RH,92.479
05/08/14 11:17:01 PM,%RH,90.911
05/08/14 11:37:01 PM,%RH,89.858
05/08/14 11:57:01 PM,%RH,93.519
06/08/14 12:17:01 AM,%RH,94.552
06/08/14 12:37:01 AM,%RH,98.634
06/08/14 12:57:01 AM,%RH,95.067
06/08/14 01:17:01 AM,%RH,97.622
06/08/14 01:37:01 AM,%RH,96.604
06/08/14 01:57:01 AM,%RH,95.067
06/08/14 02:17:01 AM,%RH,96.093
06/08/14 02:37:01 AM,%RH,97.622
06/08/14 02:57:01 AM,%RH,99.139
06/08/14 03:17:01 AM,%RH,100.143
06/08/14 03:37:01 AM,%RH,100.643
06/08/14 03:57:01 AM,%RH,98.129
06/08/14 04:17:01 AM,%RH,97.114
06/08/14 04:37:01 AM,%RH,97.114
06/08/14 04:57:01 AM,%RH,95.581
06/08/14 05:17:01 AM,%RH,98.129
06/08/14 05:37:01 AM,%RH,98.129
06/08/14 05:57:01 AM,%RH,99.641
06/08/14 06:17:01 AM,%RH,98.129
06/08/14 06:37:01 AM,%RH,99.641
06/08/14 06:57:01 AM,%RH,100.643
06/08/14 07:17:01 AM,%RH,100.643
06/08/14 07:37:01 AM,%RH,101.64
06/08/14 07:57:01 AM,%RH,101.142
06/08/14 08:17:01 AM,%RH,100.643
06/08/14 08:37:01 AM,%RH,100.643
06/08/14 08:57:01 AM,%RH,101.142
06/08/14 09:17:01 AM,%RH,98.129
06/08/14 09:37:01 AM,%RH,91.958
06/08/14 09:57:01 AM,%RH,85.595
06/08/14 10:17:01 AM,%RH,90.911
06/08/14 10:37:01 AM,%RH,81.794
06/08/14 10:57:01 AM,%RH,64.178
06/08/14 11:17:01 AM,%RH,62.997
06/08/14 11:37:01 AM,%RH,50.898
06/08/14 11:57:01 AM,%RH,58.824
06/08/14 12:17:01 PM,%RH,69.425
06/08/14 12:37:01 PM,%RH,78.485
06/08/14 12:57:01 PM,%RH,83.974
06/08/14 01:17:01 PM,%RH,81.246
06/08/14 01:37:01 PM,%RH,68.268
06/08/14 01:57:01 PM,%RH,71.722
06/08/14 02:17:01 PM,%RH,77.371
06/08/14 02:37:01 PM,%RH,72.293
06/08/14 02:57:01 PM,%RH,68.847
06/08/14 03:17:01 PM,%RH,71.149
06/08/14 03:37:01 PM,%RH,67.688
06/08/14 03:57:01 PM,%RH,73.997
06/08/14 04:17:01 PM,%RH,75.127
06/08/14 04:37:01 PM,%RH,83.974
06/08/14 04:57:01 PM,%RH,89.33
06/08/14 05:17:01 PM,%RH,93
06/08/14 05:37:01 PM,%RH,96.093
06/08/14 05:57:01 PM,%RH,96.604
06/08/14 06:17:01 PM,%RH,99.139
06/08/14 06:37:01 PM,%RH,100.143
06/08/14 06:57:01 PM,%RH,100.143
06/08/14 07:17:01 PM,%RH,99.641
06/08/14 07:37:01 PM,%RH,100.143
06/08/14 07:57:01 PM,%RH,99.641
06/08/14 08:17:01 PM,%RH,100.143
06/08/14 08:37:01 PM,%RH,100.143
06/08/14 08:57:01 PM,%RH,99.641
06/08/14 09:17:01 PM,%RH,100.143
06/08/14 09:37:01 PM,%RH,100.143
06/08/14 09:57:01 PM,%RH,99.641
06/08/14 10:17:01 PM,%RH,100.643
06/08/14 10:37:01 PM,%RH,100.643
06/08/14 10:57:01 PM,%RH,100.643
06/08/14 11:17:01 PM,%RH,100.643
06/08/14 11:37:01 PM,%RH,100.143
06/08/14 11:57:01 PM,%RH,101.142
07/08/14 12:17:01 AM,%RH,100.643
07/08/14 12:37:01 AM,%RH,100.143
07/08/14 12:57:01 AM,%RH,100.643
07/08/14 01:17:01 AM,%RH,100.643
07/08/14 01:37:01 AM,%RH,100.643
07/08/14 01:57:01 AM,%RH,101.142
07/08/14 02:17:01 AM,%RH,101.142
07/08/14 02:37:01 AM,%RH,101.142
07/08/14 02:57:01 AM,%RH,101.142
07/08/14 03:17:01 AM,%RH,100.643
07/08/14 03:37:01 AM,%RH,100.643
07/08/14 03:57:01 AM,%RH,101.142
07/08/14 04:17:01 AM,%RH,101.142
07/08/14 04:37:01 AM,%RH,103.124
07/08/14 04:57:01 AM,%RH,100.643
07/08/14 05:17:01 AM,%RH,101.64
07/08/14 05:37:01 AM,%RH,101.142
07/08/14 05:57:01 AM,%RH,101.64
07/08/14 06:17:01 AM,%RH,101.64
07/08/14 06:37:01 AM,%RH,100.643
07/08/14 06:57:01 AM,%RH,100.143
07/08/14 07:17:01 AM,%RH,97.622
07/08/14 07:37:01 AM,%RH,94.552
07/08/14 07:57:01 AM,%RH,93.519
07/08/14 08:17:01 AM,%RH,86.132
07/08/14 08:37:01 AM,%RH,68.847
07/08/14 08:57:01 AM,%RH,65.353
07/08/14 09:17:01 AM,%RH,64.766
07/08/14 09:37:01 AM,%RH,60.023
07/08/14 09:57:01 AM,%RH,52.747
07/08/14 10:17:01 AM,%RH,56.409
07/08/14 10:37:01 AM,%RH,57.015
07/08/14 10:57:01 AM,%RH,49.659
07/08/14 11:17:01 AM,%RH,52.132
07/08/14 11:37:01 AM,%RH,49.659
07/08/14 11:57:01 AM,%RH,52.747
07/08/14 12:17:01 PM,%RH,57.619
07/08/14 12:37:01 PM,%RH,49.659
07/08/14 12:57:01 PM,%RH,50.279
07/08/14 01:17:01 PM,%RH,47.165
07/08/14 01:37:01 PM,%RH,49.038
07/08/14 01:57:01 PM,%RH,59.424
07/08/14 02:17:01 PM,%RH,48.415
07/08/14 02:37:01 PM,%RH,52.132
07/08/14 02:57:01 PM,%RH,59.424
07/08/14 03:17:01 PM,%RH,49.659
07/08/14 03:37:01 PM,%RH,55.194
07/08/14 03:57:01 PM,%RH,56.409
07/08/14 04:17:01 PM,%RH,60.023
07/08/14 04:37:01 PM,%RH,68.268
07/08/14 04:57:01 PM,%RH,79.04
07/08/14 05:17:01 PM,%RH,83.974
07/08/14 05:37:01 PM,%RH,91.958
07/08/14 05:57:01 PM,%RH,96.093
07/08/14 06:17:01 PM,%RH,96.604
07/08/14 06:37:01 PM,%RH,99.139
07/08/14 06:57:01 PM,%RH,99.641
07/08/14 07:17:01 PM,%RH,98.129
07/08/14 07:37:01 PM,%RH,99.139
07/08/14 07:57:01 PM,%RH,100.143
07/08/14 08:17:01 PM,%RH,99.641
07/08/14 08:37:01 PM,%RH,97.114
07/08/14 08:57:01 PM,%RH,96.093
07/08/14 09:17:01 PM,%RH,97.622
07/08/14 09:37:01 PM,%RH,98.129
07/08/14 09:57:01 PM,%RH,99.641
07/08/14 10:17:01 PM,%RH,99.139
07/08/14 10:37:01 PM,%RH,99.139
07/08/14 10:57:01 PM,%RH,100.643
07/08/14 11:17:01 PM,%RH,100.643
07/08/14 11:37:01 PM,%RH,99.641
07/08/14 11:57:01 PM,%RH,100.143
08/08/14 12:17:01 AM,%RH,100.143
08/08/14 12:37:01 AM,%RH,99.641
08/08/14 12:57:01 AM,%RH,98.634
08/08/14 01:17:01 AM,%RH,99.139
08/08/14 01:37:01 AM,%RH,99.139
08/08/14 01:57:01 AM,%RH,99.139
08/08/14 02:17:01 AM,%RH,100.643
08/08/14 02:37:01 AM,%RH,101.64
08/08/14 02:57:01 AM,%RH,98.634
08/08/14 03:17:01 AM,%RH,100.143
08/08/14 03:37:01 AM,%RH,99.139
08/08/14 03:57:01 AM,%RH,97.622
08/08/14 04:17:01 AM,%RH,97.622
08/08/14 04:37:01 AM,%RH,98.129
08/08/14 04:57:01 AM,%RH,100.143
08/08/14 05:17:01 AM,%RH,101.142
08/08/14 05:37:01 AM,%RH,101.64
08/08/14 05:57:01 AM,%RH,101.64
08/08/14 06:17:01 AM,%RH,100.643
08/08/14 06:37:01 AM,%RH,102.136
08/08/14 06:57:01 AM,%RH,101.64
08/08/14 07:17:01 AM,%RH,101.142
08/08/14 07:37:01 AM,%RH,101.64
08/08/14 07:57:01 AM,%RH,101.64
08/08/14 08:17:01 AM,%RH,101.64
08/08/14 08:37:01 AM,%RH,101.142
08/08/14 08:57:01 AM,%RH,99.641
08/08/14 09:17:01 AM,%RH,100.643
08/08/14 09:37:01 AM,%RH,101.142
08/08/14 09:57:01 AM,%RH,100.643
08/08/14 10:17:01 AM,%RH,100.643
08/08/14 10:37:01 AM,%RH,101.64
08/08/14 10:57:01 AM,%RH,101.64
08/08/14 11:17:01 AM,%RH,100.643
08/08/14 11:37:01 AM,%RH,100.143
08/08/14 11:57:01 AM,%RH,100.143
08/08/14 12:17:01 PM,%RH,99.641
08/08/14 12:37:01 PM,%RH,100.143
08/08/14 12:57:01 PM,%RH,99.641
08/08/14 01:17:01 PM,%RH,97.622
08/08/14 01:37:01 PM,%RH,93.519
08/08/14 01:57:01 PM,%RH,97.622
08/08/14 02:17:01 PM,%RH,99.139
08/08/14 02:37:01 PM,%RH,99.139
08/08/14 02:57:01 PM,%RH,99.139
08/08/14 03:17:01 PM,%RH,99.139
08/08/14 03:37:01 PM,%RH,99.641
08/08/14 03:57:01 PM,%RH,100.143
08/08/14 04:17:01 PM,%RH,101.142
08/08/14 04:37:01 PM,%RH,101.64
08/08/14 04:57:01 PM,%RH,101.64
08/08/14 05:17:01 PM,%RH,101.64
08/08/14 05:37:01 PM,%RH,101.64
08/08/14 05:57:01 PM,%RH,102.631
08/08/14 06:17:01 PM,%RH,102.631
08/08/14 06:37:01 PM,%RH,101.142
08/08/14 06:57:01 PM,%RH,101.64
08/08/14 07:17:01 PM,%RH,101.142
08/08/14 07:37:01 PM,%RH,103.124
08/08/14 07:57:01 PM,%RH,101.64
08/08/14 08:17:01 PM,%RH,102.136
08/08/14 08:37:01 PM,%RH,102.136
08/08/14 08:57:01 PM,%RH,102.136
08/08/14 09:17:01 PM,%RH,102.631
08/08/14 09:37:01 PM,%RH,102.136
08/08/14 09:57:01 PM,%RH,101.142
08/08/14 10:17:01 PM,%RH,102.136
08/08/14 10:37:01 PM,%RH,102.631
08/08/14 10:57:01 PM,%RH,103.124
08/08/14 11:17:01 PM,%RH,102.136
08/08/14 11:37:01 PM,%RH,102.136
08/08/14 11:57:01 PM,%RH,102.631
09/08/14 12:17:01 AM,%RH,102.631
09/08/14 12:37:01 AM,%RH,102.631
09/08/14 12:57:01 AM,%RH,102.136
09/08/14 01:17:01 AM,%RH,102.631
09/08/14 01:37:01 AM,%RH,102.631
09/08/14 01:57:01 AM,%RH,103.124
09/08/14 02:17:01 AM,%RH,102.136
09/08/14 02:37:01 AM,%RH,102.631
09/08/14 02:57:01 AM,%RH,103.124
09/08/14 03:17:01 AM,%RH,102.136
09/08/14 03:37:01 AM,%RH,102.136
09/08/14 03:57:01 AM,%RH,101.64
09/08/14 04:17:01 AM,%RH,102.136
09/08/14 04:37:01 AM,%RH,101.64
09/08/14 04:57:01 AM,%RH,102.631
09/08/14 05:17:01 AM,%RH,102.631
09/08/14 05:37:01 AM,%RH,101.64
09/08/14 05:57:01 AM,%RH,102.631
09/08/14 06:17:01 AM,%RH,103.124
09/08/14 06:37:01 AM,%RH,102.136
09/08/14 06:57:01 AM,%RH,100.643
09/08/14 07:17:01 AM,%RH,97.114
09/08/14 07:37:01 AM,%RH,97.114
09/08/14 07:57:01 AM,%RH,97.622
09/08/14 08:17:01 AM,%RH,96.093
09/08/14 08:37:01 AM,%RH,85.595
09/08/14 08:57:01 AM,%RH,78.485
09/08/14 09:17:01 AM,%RH,70.001
09/08/14 09:37:01 AM,%RH,68.847
09/08/14 09:57:01 AM,%RH,66.523
09/08/14 10:17:01 AM,%RH,64.766
09/08/14 10:37:01 AM,%RH,61.217
09/08/14 10:57:01 AM,%RH,57.619
09/08/14 11:17:01 AM,%RH,54.584
09/08/14 11:37:01 AM,%RH,49.038
09/08/14 11:57:01 AM,%RH,47.165
09/08/14 12:17:01 PM,%RH,41.474
09/08/14 12:37:01 PM,%RH,44.649
09/08/14 12:57:01 PM,%RH,53.361
09/08/14 01:17:01 PM,%RH,61.812
09/08/14 01:37:01 PM,%RH,58.824
09/08/14 01:57:01 PM,%RH,64.178
09/08/14 02:17:01 PM,%RH,67.688
09/08/14 02:37:01 PM,%RH,77.371
09/08/14 02:57:01 PM,%RH,82.341
09/08/14 03:17:01 PM,%RH,87.204
09/08/14 03:37:01 PM,%RH,83.431
09/08/14 03:57:01 PM,%RH,83.431
09/08/14 04:17:01 PM,%RH,86.669
09/08/14 04:37:01 PM,%RH,88.269
09/08/14 04:57:01 PM,%RH,92.479
09/08/14 05:17:01 PM,%RH,93.519
09/08/14 05:37:01 PM,%RH,95.581
09/08/14 05:57:01 PM,%RH,95.581
09/08/14 06:17:01 PM,%RH,99.139
09/08/14 06:37:01 PM,%RH,99.641
09/08/14 06:57:01 PM,%RH,99.139
09/08/14 07:17:01 PM,%RH,99.641
09/08/14 07:37:01 PM,%RH,100.143
09/08/14 07:57:01 PM,%RH,100.143
09/08/14 08:17:01 PM,%RH,100.143
09/08/14 08:37:01 PM,%RH,99.139
09/08/14 08:57:01 PM,%RH,101.142
09/08/14 09:17:01 PM,%RH,100.143
09/08/14 09:37:01 PM,%RH,100.643
09/08/14 09:57:01 PM,%RH,101.142
09/08/14 10:17:01 PM,%RH,101.142
09/08/14 10:37:01 PM,%RH,101.142
09/08/14 10:57:01 PM,%RH,100.143
09/08/14 11:17:01 PM,%RH,99.641
09/08/14 11:37:01 PM,%RH,99.641
09/08/14 11:57:01 PM,%RH,100.643
10/08/14 12:17:01 AM,%RH,101.142
10/08/14 12:37:01 AM,%RH,100.643
10/08/14 12:57:01 AM,%RH,100.643
10/08/14 01:17:01 AM,%RH,101.64
10/08/14 01:37:01 AM,%RH,101.64
10/08/14 01:57:01 AM,%RH,101.64
10/08/14 02:17:01 AM,%RH,102.136
10/08/14 02:37:01 AM,%RH,99.641
10/08/14 02:57:01 AM,%RH,102.631
10/08/14 03:17:01 AM,%RH,101.142
10/08/14 03:37:01 AM,%RH,101.142
10/08/14 03:57:01 AM,%RH,101.64
10/08/14 04:17:01 AM,%RH,101.142
10/08/14 04:37:01 AM,%RH,103.124
10/08/14 04:57:01 AM,%RH,102.136
10/08/14 05:17:01 AM,%RH,102.136
10/08/14 05:37:01 AM,%RH,101.142
10/08/14 05:57:01 AM,%RH,100.143
10/08/14 06:17:01 AM,%RH,100.643
10/08/14 06:37:01 AM,%RH,100.643
10/08/14 06:57:01 AM,%RH,99.641
10/08/14 07:17:01 AM,%RH,97.622
10/08/14 07:37:01 AM,%RH,97.114
10/08/14 07:57:01 AM,%RH,93.519
10/08/14 08:17:01 AM,%RH,70.576
10/08/14 08:37:01 AM,%RH,80.696
10/08/14 08:57:01 AM,%RH,80.146
10/08/14 09:17:01 AM,%RH,83.974
10/08/14 09:37:01 AM,%RH,80.696
10/08/14 09:57:01 AM,%RH,71.722
10/08/14 10:17:01 AM,%RH,65.353
10/08/14 10:37:01 AM,%RH,62.405
10/08/14 10:57:01 AM,%RH,58.222
10/08/14 11:17:01 AM,%RH,59.424
10/08/14 11:37:01 AM,%RH,52.132
10/08/14 11:57:01 AM,%RH,53.361
10/08/14 12:17:01 PM,%RH,53.973
10/08/14 12:37:01 PM,%RH,61.217
10/08/14 12:57:01 PM,%RH,49.659
10/08/14 01:17:01 PM,%RH,49.659
10/08/14 01:37:01 PM,%RH,42.748
10/08/14 01:57:01 PM,%RH,49.038
10/08/14 02:17:01 PM,%RH,51.516
10/08/14 02:37:01 PM,%RH,55.802
10/08/14 02:57:01 PM,%RH,61.812
10/08/14 03:17:01 PM,%RH,64.766
10/08/14 03:37:01 PM,%RH,68.268
10/08/14 03:57:01 PM,%RH,73.43
10/08/14 04:17:01 PM,%RH,76.252
10/08/14 04:37:01 PM,%RH,79.04
10/08/14 04:57:01 PM,%RH,90.385
10/08/14 05:17:01 PM,%RH,95.581
10/08/14 05:37:01 PM,%RH,98.129
10/08/14 05:57:01 PM,%RH,98.129
10/08/14 06:17:01 PM,%RH,99.139
10/08/14 06:37:01 PM,%RH,99.139
10/08/14 06:57:01 PM,%RH,99.641
10/08/14 07:17:01 PM,%RH,100.143
10/08/14 07:37:01 PM,%RH,100.143
10/08/14 07:57:01 PM,%RH,99.641
10/08/14 08:17:01 PM,%RH,100.643
10/08/14 08:37:01 PM,%RH,99.641
10/08/14 08:57:01 PM,%RH,100.643
10/08/14 09:17:01 PM,%RH,100.143
10/08/14 09:37:01 PM,%RH,100.143
10/08/14 09:57:01 PM,%RH,100.143
10/08/14 10:17:01 PM,%RH,101.64
10/08/14 10:37:01 PM,%RH,101.64
10/08/14 10:57:01 PM,%RH,101.64
10/08/14 11:17:01 PM,%RH,101.142
10/08/14 11:37:01 PM,%RH,100.643
10/08/14 11:57:01 PM,%RH,101.142
11/08/14 12:17:01 AM,%RH,101.64
11/08/14 12:37:01 AM,%RH,100.643
11/08/14 12:57:01 AM,%RH,100.643
11/08/14 01:17:01 AM,%RH,101.64
11/08/14 01:37:01 AM,%RH,101.142
11/08/14 01:57:01 AM,%RH,101.142
11/08/14 02:17:01 AM,%RH,101.142
11/08/14 02:37:01 AM,%RH,101.64
11/08/14 02:57:01 AM,%RH,102.136
11/08/14 03:17:01 AM,%RH,102.631
11/08/14 03:37:01 AM,%RH,104.108
11/08/14 03:57:01 AM,%RH,101.64
11/08/14 04:17:01 AM,%RH,102.136
11/08/14 04:37:01 AM,%RH,101.64
11/08/14 04:57:01 AM,%RH,102.136
11/08/14 05:17:01 AM,%RH,101.142
11/08/14 05:37:01 AM,%RH,100.643
11/08/14 05:57:01 AM,%RH,101.142
11/08/14 06:17:01 AM,%RH,100.643
11/08/14 06:37:01 AM,%RH,96.604
11/08/14 06:57:01 AM,%RH,92.479
11/08/14 07:17:01 AM,%RH,96.093
11/08/14 07:37:01 AM,%RH,97.114
11/08/14 07:57:01 AM,%RH,95.581
11/08/14 08:17:01 AM,%RH,91.435
11/08/14 08:37:01 AM,%RH,87.737
11/08/14 08:57:01 AM,%RH,82.341
11/08/14 09:17:01 AM,%RH,82.341
11/08/14 09:37:01 AM,%RH,82.887
11/08/14 09:57:01 AM,%RH,72.862
11/08/14 10:17:01 AM,%RH,61.812
11/08/14 10:37:01 AM,%RH,63.588
11/08/14 10:57:01 AM,%RH,68.847
11/08/14 11:17:01 AM,%RH,66.523
11/08/14 11:37:01 AM,%RH,56.409
11/08/14 11:57:01 AM,%RH,55.194
11/08/14 12:17:01 PM,%RH,53.361
11/08/14 12:37:01 PM,%RH,45.909
11/08/14 12:57:01 PM,%RH,47.165
11/08/14 01:17:01 PM,%RH,49.659
11/08/14 01:37:01 PM,%RH,50.898
11/08/14 01:57:01 PM,%RH,45.28
11/08/14 02:17:01 PM,%RH,49.659
11/08/14 02:37:01 PM,%RH,48.415
11/08/14 02:57:01 PM,%RH,56.409
11/08/14 03:17:01 PM,%RH,64.178
11/08/14 03:37:01 PM,%RH,79.04
11/08/14 03:57:01 PM,%RH,94.036
11/08/14 04:17:01 PM,%RH,98.129
11/08/14 04:37:01 PM,%RH,98.634
11/08/14 04:57:01 PM,%RH,99.139
11/08/14 05:17:01 PM,%RH,97.622
11/08/14 05:37:01 PM,%RH,100.143
11/08/14 05:57:01 PM,%RH,99.641
11/08/14 06:17:01 PM,%RH,101.142
11/08/14 06:37:01 PM,%RH,100.643
11/08/14 06:57:01 PM,%RH,100.143
11/08/14 07:17:01 PM,%RH,100.643
11/08/14 07:37:01 PM,%RH,101.142
11/08/14 07:57:01 PM,%RH,101.142
11/08/14 08:17:01 PM,%RH,101.142
11/08/14 08:37:01 PM,%RH,101.142
11/08/14 08:57:01 PM,%RH,101.142
11/08/14 09:17:01 PM,%RH,101.64
11/08/14 09:37:01 PM,%RH,100.643
11/08/14 09:57:01 PM,%RH,100.643
11/08/14 10:17:01 PM,%RH,102.136
11/08/14 10:37:01 PM,%RH,101.64
11/08/14 10:57:01 PM,%RH,101.64
11/08/14 11:17:01 PM,%RH,101.64
11/08/14 11:37:01 PM,%RH,101.142
11/08/14 11:57:01 PM,%RH,102.136
12/08/14 12:17:01 AM,%RH,101.64
12/08/14 12:37:01 AM,%RH,102.136
12/08/14 12:57:01 AM,%RH,101.64
12/08/14 01:17:01 AM,%RH,102.136
12/08/14 01:37:01 AM,%RH,101.142
12/08/14 01:57:01 AM,%RH,102.631
12/08/14 02:17:01 AM,%RH,102.136
12/08/14 02:37:01 AM,%RH,101.64
12/08/14 02:57:01 AM,%RH,101.64
12/08/14 03:17:01 AM,%RH,101.64
12/08/14 03:37:01 AM,%RH,102.631
12/08/14 03:57:01 AM,%RH,101.64
12/08/14 04:17:01 AM,%RH,101.64
12/08/14 04:37:01 AM,%RH,101.142
12/08/14 04:57:01 AM,%RH,101.64
12/08/14 05:17:01 AM,%RH,101.64
12/08/14 05:37:01 AM,%RH,102.136
12/08/14 05:57:01 AM,%RH,102.136
12/08/14 06:17:01 AM,%RH,104.108
12/08/14 06:37:01 AM,%RH,102.136
12/08/14 06:57:01 AM,%RH,102.631
12/08/14 07:17:01 AM,%RH,102.631
12/08/14 07:37:01 AM,%RH,102.136
12/08/14 07:57:01 AM,%RH,102.136
12/08/14 08:17:01 AM,%RH,101.64
12/08/14 08:37:01 AM,%RH,102.631
12/08/14 08:57:01 AM,%RH,101.64
12/08/14 09:17:01 AM,%RH,101.142
12/08/14 09:37:01 AM,%RH,101.64
12/08/14 09:57:01 AM,%RH,100.643
12/08/14 10:17:01 AM,%RH,98.129
12/08/14 10:37:01 AM,%RH,91.958
12/08/14 10:57:01 AM,%RH,87.737
12/08/14 11:17:01 AM,%RH,86.132
12/08/14 11:37:01 AM,%RH,84.516
12/08/14 11:57:01 AM,%RH,81.246
12/08/14 12:17:01 PM,%RH,78.485
12/08/14 12:37:01 PM,%RH,78.485
12/08/14 12:57:01 PM,%RH,77.929
12/08/14 01:17:01 PM,%RH,83.974
12/08/14 01:37:01 PM,%RH,84.516
12/08/14 01:57:01 PM,%RH,90.385
12/08/14 02:17:01 PM,%RH,91.958
12/08/14 02:37:01 PM,%RH,89.858
12/08/14 02:57:01 PM,%RH,89.33
12/08/14 03:17:01 PM,%RH,81.246
12/08/14 03:37:01 PM,%RH,82.341
12/08/14 03:57:01 PM,%RH,83.974
12/08/14 04:17:01 PM,%RH,86.669
12/08/14 04:37:01 PM,%RH,90.385
12/08/14 04:57:01 PM,%RH,90.385
12/08/14 05:17:01 PM,%RH,94.552
12/08/14 05:37:01 PM,%RH,96.604
12/08/14 05:57:01 PM,%RH,100.143
12/08/14 06:17:01 PM,%RH,100.643
12/08/14 06:37:01 PM,%RH,99.641
12/08/14 06:57:01 PM,%RH,99.641
12/08/14 07:17:01 PM,%RH,99.641
12/08/14 07:37:01 PM,%RH,100.143
12/08/14 07:57:01 PM,%RH,100.143
12/08/14 08:17:01 PM,%RH,101.142
12/08/14 08:37:01 PM,%RH,100.643
12/08/14 08:57:01 PM,%RH,101.142
12/08/14 09:17:01 PM,%RH,101.142
12/08/14 09:37:01 PM,%RH,100.643
12/08/14 09:57:01 PM,%RH,100.643
12/08/14 10:17:01 PM,%RH,101.142
12/08/14 10:37:01 PM,%RH,101.64
12/08/14 10:57:01 PM,%RH,101.142
12/08/14 11:17:01 PM,%RH,101.64
12/08/14 11:37:01 PM,%RH,101.64
12/08/14 11:57:01 PM,%RH,102.136
13/08/14 12:17:01 AM,%RH,101.142
13/08/14 12:37:01 AM,%RH,100.643
13/08/14 12:57:01 AM,%RH,101.64
13/08/14 01:17:01 AM,%RH,101.142
