1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 560000002BDC0141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:33:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 03:33:01 CST 2014
Total Mission Samples:  4220
Total Device Samples:  11376
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 03:33:01 AM,%RH,102.771
01-08-14 04:33:01 AM,%RH,103.306
01-08-14 05:33:01 AM,%RH,103.092
01-08-14 06:33:01 AM,%RH,103.092
01-08-14 07:33:01 AM,%RH,102.771
01-08-14 08:33:01 AM,%RH,102.449
01-08-14 09:33:01 AM,%RH,98.513
01-08-14 10:33:01 AM,%RH,93.182
01-08-14 11:33:01 AM,%RH,93.99
01-08-14 12:33:01 PM,%RH,92.951
01-08-14 01:33:01 PM,%RH,83.853
01-08-14 02:33:01 PM,%RH,91.2
01-08-14 03:33:01 PM,%RH,91.669
01-08-14 04:33:01 PM,%RH,98.402
01-08-14 05:33:01 PM,%RH,99.067
01-08-14 06:33:01 PM,%RH,99.949
01-08-14 07:33:01 PM,%RH,100.059
01-08-14 08:33:01 PM,%RH,98.846
01-08-14 09:33:01 PM,%RH,99.729
01-08-14 10:33:01 PM,%RH,99.839
01-08-14 11:33:01 PM,%RH,99.729
01-09-14 12:33:01 AM,%RH,99.399
01-09-14 01:33:01 AM,%RH,99.729
01-09-14 02:33:01 AM,%RH,100.606
01-09-14 03:33:01 AM,%RH,101.477
01-09-14 04:33:01 AM,%RH,101.693
01-09-14 05:33:01 AM,%RH,101.693
01-09-14 06:33:01 AM,%RH,101.26
01-09-14 07:33:01 AM,%RH,102.018
01-09-14 08:33:01 AM,%RH,92.835
01-09-14 09:33:01 AM,%RH,83.73
01-09-14 10:33:01 AM,%RH,79.345
01-09-14 11:33:01 AM,%RH,73.398
01-09-14 12:33:01 PM,%RH,82.115
01-09-14 01:33:01 PM,%RH,93.644
01-09-14 02:33:01 PM,%RH,66.287
01-09-14 03:33:01 PM,%RH,91.2
01-09-14 04:33:01 PM,%RH,98.402
01-09-14 05:33:01 PM,%RH,99.729
01-09-14 06:33:01 PM,%RH,100.168
01-09-14 07:33:01 PM,%RH,100.606
01-09-14 08:33:01 PM,%RH,100.933
01-09-14 09:33:01 PM,%RH,101.477
01-09-14 10:33:01 PM,%RH,102.018
01-09-14 11:33:01 PM,%RH,102.233
01-10-14 12:33:01 AM,%RH,102.018
01-10-14 01:33:01 AM,%RH,104.051
01-10-14 02:33:01 AM,%RH,102.664
01-10-14 03:33:01 AM,%RH,102.878
01-10-14 04:33:01 AM,%RH,102.985
01-10-14 05:33:01 AM,%RH,103.413
01-10-14 06:33:01 AM,%RH,102.771
01-10-14 07:33:01 AM,%RH,105.001
01-10-14 08:33:01 AM,%RH,99.619
01-10-14 09:33:01 AM,%RH,92.137
01-10-14 10:33:01 AM,%RH,82.365
01-10-14 11:33:01 AM,%RH,79.472
01-10-14 12:33:01 PM,%RH,76.398
01-10-14 01:33:01 PM,%RH,75.36
01-10-14 02:33:01 PM,%RH,78.964
01-10-14 03:33:01 PM,%RH,80.988
01-10-14 04:33:01 PM,%RH,76.268
01-10-14 05:33:01 PM,%RH,81.239
01-10-14 06:33:01 PM,%RH,97.397
01-10-14 07:33:01 PM,%RH,95.705
01-10-14 08:33:01 PM,%RH,95.364
01-10-14 09:33:01 PM,%RH,98.068
01-10-14 10:33:01 PM,%RH,100.387
01-10-14 11:33:01 PM,%RH,100.278
01-11-14 12:33:01 AM,%RH,100.933
01-11-14 01:33:01 AM,%RH,101.91
01-11-14 02:33:01 AM,%RH,101.91
01-11-14 03:33:01 AM,%RH,101.693
01-11-14 04:33:01 AM,%RH,100.387
01-11-14 05:33:01 AM,%RH,99.178
01-11-14 06:33:01 AM,%RH,99.067
01-11-14 07:33:01 AM,%RH,97.285
01-11-14 08:33:01 AM,%RH,88.832
01-11-14 09:33:01 AM,%RH,86.181
01-11-14 10:33:01 AM,%RH,88.473
01-11-14 11:33:01 AM,%RH,83.977
01-11-14 12:33:01 PM,%RH,75.49
01-11-14 01:33:01 PM,%RH,71.281
01-11-14 02:33:01 PM,%RH,72.607
01-11-14 03:33:01 PM,%RH,79.345
01-11-14 04:33:01 PM,%RH,70.346
01-11-14 05:33:01 PM,%RH,63.808
01-11-14 06:33:01 PM,%RH,93.76
01-11-14 07:33:01 PM,%RH,93.644
01-11-14 08:33:01 PM,%RH,95.705
01-11-14 09:33:01 PM,%RH,97.956
01-11-14 10:33:01 PM,%RH,97.956
01-11-14 11:33:01 PM,%RH,99.288
01-12-14 12:33:01 AM,%RH,100.278
01-12-14 01:33:01 AM,%RH,99.067
01-12-14 02:33:01 AM,%RH,100.715
01-12-14 03:33:01 AM,%RH,100.387
01-12-14 04:33:01 AM,%RH,100.606
01-12-14 05:33:01 AM,%RH,101.151
01-12-14 06:33:01 AM,%RH,100.606
01-12-14 07:33:01 AM,%RH,101.26
01-12-14 08:33:01 AM,%RH,94.679
01-12-14 09:33:01 AM,%RH,76.914
01-12-14 10:33:01 AM,%RH,74.839
01-12-14 11:33:01 AM,%RH,82.614
01-12-14 12:33:01 PM,%RH,84.1
01-12-14 01:33:01 PM,%RH,75.36
01-12-14 02:33:01 PM,%RH,77.814
01-12-14 03:33:01 PM,%RH,83.606
01-12-14 04:33:01 PM,%RH,84.961
01-12-14 05:33:01 PM,%RH,94.105
01-12-14 06:33:01 PM,%RH,96.271
01-12-14 07:33:01 PM,%RH,97.285
01-12-14 08:33:01 PM,%RH,97.845
01-12-14 09:33:01 PM,%RH,100.059
01-12-14 10:33:01 PM,%RH,99.729
01-12-14 11:33:01 PM,%RH,101.042
01-13-14 12:33:01 AM,%RH,99.839
01-13-14 01:33:01 AM,%RH,100.387
01-13-14 02:33:01 AM,%RH,101.802
01-13-14 03:33:01 AM,%RH,101.151
01-13-14 04:33:01 AM,%RH,99.399
01-13-14 05:33:01 AM,%RH,99.619
01-13-14 06:33:01 AM,%RH,100.824
01-13-14 07:33:01 AM,%RH,99.288
01-13-14 08:33:01 AM,%RH,90.612
01-13-14 09:33:01 AM,%RH,88.593
01-13-14 10:33:01 AM,%RH,77.429
01-13-14 11:33:01 AM,%RH,80.988
01-13-14 12:33:01 PM,%RH,78.326
01-13-14 01:33:01 PM,%RH,66.424
01-13-14 02:33:01 PM,%RH,58.471
01-13-14 03:33:01 PM,%RH,56.181
01-13-14 04:33:01 PM,%RH,63.531
01-13-14 05:33:01 PM,%RH,77.043
01-13-14 06:33:01 PM,%RH,81.615
01-13-14 07:33:01 PM,%RH,86.06
01-13-14 08:33:01 PM,%RH,87.633
01-13-14 09:33:01 PM,%RH,89.309
01-13-14 10:33:01 PM,%RH,89.071
01-13-14 11:33:01 PM,%RH,93.529
01-14-14 12:33:01 AM,%RH,91.786
01-14-14 01:33:01 AM,%RH,96.835
01-14-14 02:33:01 AM,%RH,98.624
01-14-14 03:33:01 AM,%RH,96.948
01-14-14 04:33:01 AM,%RH,97.397
01-14-14 05:33:01 AM,%RH,97.173
01-14-14 06:33:01 AM,%RH,96.158
01-14-14 07:33:01 AM,%RH,95.136
01-14-14 08:33:01 AM,%RH,87.753
01-14-14 09:33:01 AM,%RH,91.552
01-14-14 10:33:01 AM,%RH,79.472
01-14-14 11:33:01 AM,%RH,81.365
01-14-14 12:33:01 PM,%RH,69.81
01-14-14 01:33:01 PM,%RH,72.21
01-14-14 02:33:01 PM,%RH,74.317
01-14-14 03:33:01 PM,%RH,79.852
01-14-14 04:33:01 PM,%RH,82.863
01-14-14 05:33:01 PM,%RH,91.083
01-14-14 06:33:01 PM,%RH,93.066
01-14-14 07:33:01 PM,%RH,95.932
01-14-14 08:33:01 PM,%RH,95.932
01-14-14 09:33:01 PM,%RH,97.285
01-14-14 10:33:01 PM,%RH,97.621
01-14-14 11:33:01 PM,%RH,96.723
01-15-14 12:33:01 AM,%RH,97.509
01-15-14 01:33:01 AM,%RH,99.067
01-15-14 02:33:01 AM,%RH,100.497
01-15-14 03:33:01 AM,%RH,100.606
01-15-14 04:33:01 AM,%RH,100.824
01-15-14 05:33:01 AM,%RH,99.729
01-15-14 06:33:01 AM,%RH,101.26
01-15-14 07:33:01 AM,%RH,101.585
01-15-14 08:33:01 AM,%RH,90.612
01-15-14 09:33:01 AM,%RH,91.2
01-15-14 10:33:01 AM,%RH,84.223
01-15-14 11:33:01 AM,%RH,81.615
01-15-14 12:33:01 PM,%RH,65.327
01-15-14 01:33:01 PM,%RH,84.592
01-15-14 02:33:01 PM,%RH,86.181
01-15-14 03:33:01 PM,%RH,82.738
01-15-14 04:33:01 PM,%RH,73.661
01-15-14 05:33:01 PM,%RH,94.679
01-15-14 06:33:01 PM,%RH,98.402
01-15-14 07:33:01 PM,%RH,98.957
01-15-14 08:33:01 PM,%RH,99.288
01-15-14 09:33:01 PM,%RH,99.619
01-15-14 10:33:01 PM,%RH,100.497
01-15-14 11:33:01 PM,%RH,102.126
01-16-14 12:33:01 AM,%RH,102.233
01-16-14 01:33:01 AM,%RH,102.664
01-16-14 02:33:01 AM,%RH,101.802
01-16-14 03:33:01 AM,%RH,99.178
01-16-14 04:33:01 AM,%RH,98.402
01-16-14 05:33:01 AM,%RH,98.624
01-16-14 06:33:01 AM,%RH,99.509
01-16-14 07:33:01 AM,%RH,97.509
01-16-14 08:33:01 AM,%RH,96.271
01-16-14 09:33:01 AM,%RH,95.25
01-16-14 10:33:01 AM,%RH,97.956
01-16-14 11:33:01 AM,%RH,96.835
01-16-14 12:33:01 PM,%RH,97.06
01-16-14 01:33:01 PM,%RH,96.835
01-16-14 02:33:01 PM,%RH,98.624
01-16-14 03:33:01 PM,%RH,98.957
01-16-14 04:33:01 PM,%RH,100.497
01-16-14 05:33:01 PM,%RH,101.585
01-16-14 06:33:01 PM,%RH,99.839
01-16-14 07:33:01 PM,%RH,98.068
01-16-14 08:33:01 PM,%RH,95.591
01-16-14 09:33:01 PM,%RH,92.835
01-16-14 10:33:01 PM,%RH,90.612
01-16-14 11:33:01 PM,%RH,91.435
01-17-14 12:33:01 AM,%RH,91.435
01-17-14 01:33:01 AM,%RH,97.845
01-17-14 02:33:01 AM,%RH,93.066
01-17-14 03:33:01 AM,%RH,95.021
01-17-14 04:33:01 AM,%RH,92.486
01-17-14 05:33:01 AM,%RH,92.718
01-17-14 06:33:01 AM,%RH,95.25
01-17-14 07:33:01 AM,%RH,89.784
01-17-14 08:33:01 AM,%RH,88.593
01-17-14 09:33:01 AM,%RH,84.592
01-17-14 10:33:01 AM,%RH,78.836
01-17-14 11:33:01 AM,%RH,76.398
01-17-14 12:33:01 PM,%RH,75.49
01-17-14 01:33:01 PM,%RH,77.043
01-17-14 02:33:01 PM,%RH,82.115
01-17-14 03:33:01 PM,%RH,80.358
01-17-14 04:33:01 PM,%RH,84.715
01-17-14 05:33:01 PM,%RH,90.73
01-17-14 06:33:01 PM,%RH,93.99
01-17-14 07:33:01 PM,%RH,95.25
01-17-14 08:33:01 PM,%RH,96.61
01-17-14 09:33:01 PM,%RH,97.733
01-17-14 10:33:01 PM,%RH,99.729
01-17-14 11:33:01 PM,%RH,100.278
01-18-14 12:33:01 AM,%RH,100.715
01-18-14 01:33:01 AM,%RH,101.477
01-18-14 02:33:01 AM,%RH,101.042
01-18-14 03:33:01 AM,%RH,100.824
01-18-14 04:33:01 AM,%RH,101.151
01-18-14 05:33:01 AM,%RH,101.585
01-18-14 06:33:01 AM,%RH,102.449
01-18-14 07:33:01 AM,%RH,101.151
01-18-14 08:33:01 AM,%RH,102.233
01-18-14 09:33:01 AM,%RH,101.368
01-18-14 10:33:01 AM,%RH,96.384
01-18-14 11:33:01 AM,%RH,97.397
01-18-14 12:33:01 PM,%RH,94.679
01-18-14 01:33:01 PM,%RH,90.965
01-18-14 02:33:01 PM,%RH,92.835
01-18-14 03:33:01 PM,%RH,95.021
01-18-14 04:33:01 PM,%RH,97.956
01-18-14 05:33:01 PM,%RH,98.957
01-18-14 06:33:01 PM,%RH,98.291
01-18-14 07:33:01 PM,%RH,98.513
01-18-14 08:33:01 PM,%RH,98.624
01-18-14 09:33:01 PM,%RH,99.839
01-18-14 10:33:01 PM,%RH,99.839
01-18-14 11:33:01 PM,%RH,100.278
01-19-14 12:33:01 AM,%RH,100.606
01-19-14 01:33:01 AM,%RH,101.151
01-19-14 02:33:01 AM,%RH,101.042
01-19-14 03:33:01 AM,%RH,101.368
01-19-14 04:33:01 AM,%RH,101.477
01-19-14 05:33:01 AM,%RH,101.585
01-19-14 06:33:01 AM,%RH,101.585
01-19-14 07:33:01 AM,%RH,102.341
01-19-14 08:33:01 AM,%RH,101.042
01-19-14 09:33:01 AM,%RH,99.178
01-19-14 10:33:01 AM,%RH,97.397
01-19-14 11:33:01 AM,%RH,97.621
01-19-14 12:33:01 PM,%RH,97.06
01-19-14 01:33:01 PM,%RH,95.932
01-19-14 02:33:01 PM,%RH,98.846
01-19-14 03:33:01 PM,%RH,98.513
01-19-14 04:33:01 PM,%RH,99.839
01-19-14 05:33:01 PM,%RH,100.278
01-19-14 06:33:01 PM,%RH,100.606
01-19-14 07:33:01 PM,%RH,97.845
01-19-14 08:33:01 PM,%RH,98.957
01-19-14 09:33:01 PM,%RH,100.278
01-19-14 10:33:01 PM,%RH,99.509
01-19-14 11:33:01 PM,%RH,99.729
01-20-14 12:33:01 AM,%RH,98.179
01-20-14 01:33:01 AM,%RH,100.168
01-20-14 02:33:01 AM,%RH,101.477
01-20-14 03:33:01 AM,%RH,99.949
01-20-14 04:33:01 AM,%RH,100.715
01-20-14 05:33:01 AM,%RH,100.606
01-20-14 06:33:01 AM,%RH,100.497
01-20-14 07:33:01 AM,%RH,101.585
01-20-14 08:33:01 AM,%RH,93.76
01-20-14 09:33:01 AM,%RH,90.612
01-20-14 10:33:01 AM,%RH,83.359
01-20-14 11:33:01 AM,%RH,76.527
01-20-14 12:33:01 PM,%RH,69.81
01-20-14 01:33:01 PM,%RH,72.739
01-20-14 02:33:01 PM,%RH,79.852
01-20-14 03:33:01 PM,%RH,85.938
01-20-14 04:33:01 PM,%RH,86.667
01-20-14 05:33:01 PM,%RH,91.2
01-20-14 06:33:01 PM,%RH,92.602
01-20-14 07:33:01 PM,%RH,94.335
01-20-14 08:33:01 PM,%RH,93.76
01-20-14 09:33:01 PM,%RH,95.364
01-20-14 10:33:01 PM,%RH,94.449
01-20-14 11:33:01 PM,%RH,97.06
01-21-14 12:33:01 AM,%RH,97.285
01-21-14 01:33:01 AM,%RH,94.907
01-21-14 02:33:01 AM,%RH,83.483
01-21-14 03:33:01 AM,%RH,96.158
01-21-14 04:33:01 AM,%RH,97.733
01-21-14 05:33:01 AM,%RH,93.529
01-21-14 06:33:01 AM,%RH,96.271
01-21-14 07:33:01 AM,%RH,93.76
01-21-14 08:33:01 AM,%RH,86.909
01-21-14 09:33:01 AM,%RH,82.738
01-21-14 10:33:01 AM,%RH,79.091
01-21-14 11:33:01 AM,%RH,78.709
01-21-14 12:33:01 PM,%RH,76.268
01-21-14 01:33:01 PM,%RH,79.472
01-21-14 02:33:01 PM,%RH,81.615
01-21-14 03:33:01 PM,%RH,85.816
01-21-14 04:33:01 PM,%RH,87.271
01-21-14 05:33:01 PM,%RH,90.258
01-21-14 06:33:01 PM,%RH,95.818
01-21-14 07:33:01 PM,%RH,97.845
01-21-14 08:33:01 PM,%RH,97.733
01-21-14 09:33:01 PM,%RH,97.733
01-21-14 10:33:01 PM,%RH,98.624
01-21-14 11:33:01 PM,%RH,96.384
01-22-14 12:33:01 AM,%RH,96.61
01-22-14 01:33:01 AM,%RH,98.068
01-22-14 02:33:01 AM,%RH,96.271
01-22-14 03:33:01 AM,%RH,96.045
01-22-14 04:33:01 AM,%RH,95.25
01-22-14 05:33:01 AM,%RH,96.723
01-22-14 06:33:01 AM,%RH,97.621
01-22-14 07:33:01 AM,%RH,97.845
01-22-14 08:33:01 AM,%RH,96.723
01-22-14 09:33:01 AM,%RH,90.139
01-22-14 10:33:01 AM,%RH,80.232
01-22-14 11:33:01 AM,%RH,85.205
01-22-14 12:33:01 PM,%RH,83.606
01-22-14 01:33:01 PM,%RH,72.871
01-22-14 02:33:01 PM,%RH,85.572
01-22-14 03:33:01 PM,%RH,87.994
01-22-14 04:33:01 PM,%RH,97.173
01-22-14 05:33:01 PM,%RH,98.402
01-22-14 06:33:01 PM,%RH,99.399
01-22-14 07:33:01 PM,%RH,98.291
01-22-14 08:33:01 PM,%RH,98.068
01-22-14 09:33:01 PM,%RH,97.285
01-22-14 10:33:01 PM,%RH,99.399
01-22-14 11:33:01 PM,%RH,100.606
01-23-14 12:33:01 AM,%RH,98.291
01-23-14 01:33:01 AM,%RH,100.059
01-23-14 02:33:01 AM,%RH,97.956
01-23-14 03:33:01 AM,%RH,95.591
01-23-14 04:33:01 AM,%RH,90.848
01-23-14 05:33:01 AM,%RH,94.449
01-23-14 06:33:01 AM,%RH,97.845
01-23-14 07:33:01 AM,%RH,98.624
01-23-14 08:33:01 AM,%RH,89.547
01-23-14 09:33:01 AM,%RH,82.24
01-23-14 10:33:01 AM,%RH,85.45
01-23-14 11:33:01 AM,%RH,79.345
01-23-14 12:33:01 PM,%RH,74.578
01-23-14 01:33:01 PM,%RH,73.003
01-23-14 02:33:01 PM,%RH,74.055
01-23-14 03:33:01 PM,%RH,79.599
01-23-14 04:33:01 PM,%RH,81.866
01-23-14 05:33:01 PM,%RH,84.223
01-23-14 06:33:01 PM,%RH,92.137
01-23-14 07:33:01 PM,%RH,97.06
01-23-14 08:33:01 PM,%RH,98.179
01-23-14 09:33:01 PM,%RH,98.624
01-23-14 10:33:01 PM,%RH,100.059
01-23-14 11:33:01 PM,%RH,96.835
01-24-14 12:33:01 AM,%RH,96.61
01-24-14 01:33:01 AM,%RH,96.384
01-24-14 02:33:01 AM,%RH,98.957
01-24-14 03:33:01 AM,%RH,100.059
01-24-14 04:33:01 AM,%RH,100.278
01-24-14 05:33:01 AM,%RH,100.715
01-24-14 06:33:01 AM,%RH,100.715
01-24-14 07:33:01 AM,%RH,99.839
01-24-14 08:33:01 AM,%RH,98.735
01-24-14 09:33:01 AM,%RH,90.612
01-24-14 10:33:01 AM,%RH,90.494
01-24-14 11:33:01 AM,%RH,83.853
01-24-14 12:33:01 PM,%RH,85.328
01-24-14 01:33:01 PM,%RH,80.862
01-24-14 02:33:01 PM,%RH,76.527
01-24-14 03:33:01 PM,%RH,69.003
01-24-14 04:33:01 PM,%RH,84.592
01-24-14 05:33:01 PM,%RH,93.99
01-24-14 06:33:01 PM,%RH,95.818
01-24-14 07:33:01 PM,%RH,98.179
01-24-14 08:33:01 PM,%RH,99.509
01-24-14 09:33:01 PM,%RH,98.513
01-24-14 10:33:01 PM,%RH,99.399
01-24-14 11:33:01 PM,%RH,99.729
01-25-14 12:33:01 AM,%RH,99.509
01-25-14 01:33:01 AM,%RH,98.624
01-25-14 02:33:01 AM,%RH,97.173
01-25-14 03:33:01 AM,%RH,98.402
01-25-14 04:33:01 AM,%RH,98.735
01-25-14 05:33:01 AM,%RH,97.621
01-25-14 06:33:01 AM,%RH,97.956
01-25-14 07:33:01 AM,%RH,98.291
01-25-14 08:33:01 AM,%RH,97.956
01-25-14 09:33:01 AM,%RH,94.335
01-25-14 10:33:01 AM,%RH,98.846
01-25-14 11:33:01 AM,%RH,95.25
01-25-14 12:33:01 PM,%RH,85.572
01-25-14 01:33:01 PM,%RH,78.836
01-25-14 02:33:01 PM,%RH,74.578
01-25-14 03:33:01 PM,%RH,83.483
01-25-14 04:33:01 PM,%RH,90.965
01-25-14 05:33:01 PM,%RH,94.22
01-25-14 06:33:01 PM,%RH,97.956
01-25-14 07:33:01 PM,%RH,97.06
01-25-14 08:33:01 PM,%RH,97.06
01-25-14 09:33:01 PM,%RH,97.509
01-25-14 10:33:01 PM,%RH,98.846
01-25-14 11:33:01 PM,%RH,99.839
01-26-14 12:33:01 AM,%RH,100.168
01-26-14 01:33:01 AM,%RH,99.949
01-26-14 02:33:01 AM,%RH,99.178
01-26-14 03:33:01 AM,%RH,98.179
01-26-14 04:33:01 AM,%RH,97.621
01-26-14 05:33:01 AM,%RH,99.729
01-26-14 06:33:01 AM,%RH,99.288
01-26-14 07:33:01 AM,%RH,97.397
01-26-14 08:33:01 AM,%RH,92.835
01-26-14 09:33:01 AM,%RH,88.713
01-26-14 10:33:01 AM,%RH,83.73
01-26-14 11:33:01 AM,%RH,76.009
01-26-14 12:33:01 PM,%RH,70.48
01-26-14 01:33:01 PM,%RH,72.21
01-26-14 02:33:01 PM,%RH,68.733
01-26-14 03:33:01 PM,%RH,80.862
01-26-14 04:33:01 PM,%RH,86.667
01-26-14 05:33:01 PM,%RH,90.376
01-26-14 06:33:01 PM,%RH,94.22
01-26-14 07:33:01 PM,%RH,96.158
01-26-14 08:33:01 PM,%RH,97.06
01-26-14 09:33:01 PM,%RH,96.384
01-26-14 10:33:01 PM,%RH,97.956
01-26-14 11:33:01 PM,%RH,97.173
01-27-14 12:33:01 AM,%RH,99.399
01-27-14 01:33:01 AM,%RH,99.509
01-27-14 02:33:01 AM,%RH,99.509
01-27-14 03:33:01 AM,%RH,98.735
01-27-14 04:33:01 AM,%RH,100.387
01-27-14 05:33:01 AM,%RH,100.168
01-27-14 06:33:01 AM,%RH,99.619
01-27-14 07:33:01 AM,%RH,100.168
01-27-14 08:33:01 AM,%RH,97.621
01-27-14 09:33:01 AM,%RH,90.612
01-27-14 10:33:01 AM,%RH,83.73
01-27-14 11:33:01 AM,%RH,76.139
01-27-14 12:33:01 PM,%RH,70.078
01-27-14 01:33:01 PM,%RH,71.812
01-27-14 02:33:01 PM,%RH,57.043
01-27-14 03:33:01 PM,%RH,58.471
01-27-14 04:33:01 PM,%RH,52.26
01-27-14 05:33:01 PM,%RH,63.253
01-27-14 06:33:01 PM,%RH,82.24
01-27-14 07:33:01 PM,%RH,87.994
01-27-14 08:33:01 PM,%RH,91.435
01-27-14 09:33:01 PM,%RH,94.907
01-27-14 10:33:01 PM,%RH,96.723
01-27-14 11:33:01 PM,%RH,100.059
01-28-14 12:33:01 AM,%RH,98.179
01-28-14 01:33:01 AM,%RH,99.949
01-28-14 02:33:01 AM,%RH,100.824
01-28-14 03:33:01 AM,%RH,99.399
01-28-14 04:33:01 AM,%RH,100.168
01-28-14 05:33:01 AM,%RH,101.368
01-28-14 06:33:01 AM,%RH,100.933
01-28-14 07:33:01 AM,%RH,101.802
01-28-14 08:33:01 AM,%RH,89.309
01-28-14 09:33:01 AM,%RH,83.977
01-28-14 10:33:01 AM,%RH,77.429
01-28-14 11:33:01 AM,%RH,74.839
01-28-14 12:33:01 PM,%RH,76.268
01-28-14 01:33:01 PM,%RH,76.268
01-28-14 02:33:01 PM,%RH,67.378
01-28-14 03:33:01 PM,%RH,69.944
01-28-14 04:33:01 PM,%RH,74.97
01-28-14 05:33:01 PM,%RH,74.709
01-28-14 06:33:01 PM,%RH,88.713
01-28-14 07:33:01 PM,%RH,93.76
01-28-14 08:33:01 PM,%RH,94.907
01-28-14 09:33:01 PM,%RH,96.835
01-28-14 10:33:01 PM,%RH,98.068
01-28-14 11:33:01 PM,%RH,98.957
01-29-14 12:33:01 AM,%RH,99.067
01-29-14 01:33:01 AM,%RH,98.291
01-29-14 02:33:01 AM,%RH,99.067
01-29-14 03:33:01 AM,%RH,99.839
01-29-14 04:33:01 AM,%RH,100.606
01-29-14 05:33:01 AM,%RH,97.845
01-29-14 06:33:01 AM,%RH,97.733
01-29-14 07:33:01 AM,%RH,97.397
01-29-14 08:33:01 AM,%RH,88.593
01-29-14 09:33:01 AM,%RH,88.593
01-29-14 10:33:01 AM,%RH,75.75
01-29-14 11:33:01 AM,%RH,75.62
01-29-14 12:33:01 PM,%RH,77.814
01-29-14 01:33:01 PM,%RH,74.97
01-29-14 02:33:01 PM,%RH,74.055
01-29-14 03:33:01 PM,%RH,68.868
01-29-14 04:33:01 PM,%RH,83.359
01-29-14 05:33:01 PM,%RH,81.866
01-29-14 06:33:01 PM,%RH,93.644
01-29-14 07:33:01 PM,%RH,96.384
01-29-14 08:33:01 PM,%RH,95.705
01-29-14 09:33:01 PM,%RH,96.948
01-29-14 10:33:01 PM,%RH,97.285
01-29-14 11:33:01 PM,%RH,97.397
01-30-14 12:33:01 AM,%RH,99.178
01-30-14 01:33:01 AM,%RH,99.949
01-30-14 02:33:01 AM,%RH,100.606
01-30-14 03:33:01 AM,%RH,100.168
01-30-14 04:33:01 AM,%RH,100.278
01-30-14 05:33:01 AM,%RH,101.26
01-30-14 06:33:01 AM,%RH,101.26
01-30-14 07:33:01 AM,%RH,101.151
01-30-14 08:33:01 AM,%RH,99.178
01-30-14 09:33:01 AM,%RH,93.76
01-30-14 10:33:01 AM,%RH,78.07
01-30-14 11:33:01 AM,%RH,75.88
01-30-14 12:33:01 PM,%RH,72.739
01-30-14 01:33:01 PM,%RH,67.106
01-30-14 02:33:01 PM,%RH,62.975
01-30-14 03:33:01 PM,%RH,60.313
01-30-14 04:33:01 PM,%RH,74.578
01-30-14 05:33:01 PM,%RH,86.788
01-30-14 06:33:01 PM,%RH,91.435
01-30-14 07:33:01 PM,%RH,94.564
01-30-14 08:33:01 PM,%RH,94.907
01-30-14 09:33:01 PM,%RH,96.723
01-30-14 10:33:01 PM,%RH,98.402
01-30-14 11:33:01 PM,%RH,98.957
01-31-14 12:33:01 AM,%RH,99.067
01-31-14 01:33:01 AM,%RH,99.178
01-31-14 02:33:01 AM,%RH,98.846
01-31-14 03:33:01 AM,%RH,100.059
01-31-14 04:33:01 AM,%RH,100.059
01-31-14 05:33:01 AM,%RH,100.387
01-31-14 06:33:01 AM,%RH,100.715
01-31-14 07:33:01 AM,%RH,101.151
01-31-14 08:33:01 AM,%RH,95.591
01-31-14 09:33:01 AM,%RH,90.73
01-31-14 10:33:01 AM,%RH,91.435
01-31-14 11:33:01 AM,%RH,85.816
01-31-14 12:33:01 PM,%RH,84.1
01-31-14 01:33:01 PM,%RH,77.3
01-31-14 02:33:01 PM,%RH,78.454
01-31-14 03:33:01 PM,%RH,90.139
01-31-14 04:33:01 PM,%RH,90.258
01-31-14 05:33:01 PM,%RH,94.449
01-31-14 06:33:01 PM,%RH,96.384
01-31-14 07:33:01 PM,%RH,96.497
01-31-14 08:33:01 PM,%RH,97.285
01-31-14 09:33:01 PM,%RH,97.285
01-31-14 10:33:01 PM,%RH,97.173
01-31-14 11:33:01 PM,%RH,99.729
02-01-14 12:33:01 AM,%RH,99.509
02-01-14 01:33:01 AM,%RH,98.957
02-01-14 02:33:01 AM,%RH,100.497
02-01-14 03:33:01 AM,%RH,100.387
02-01-14 04:33:01 AM,%RH,101.26
02-01-14 05:33:01 AM,%RH,101.151
02-01-14 06:33:01 AM,%RH,101.477
02-01-14 07:33:01 AM,%RH,101.802
02-01-14 08:33:01 AM,%RH,97.509
02-01-14 09:33:01 AM,%RH,93.875
02-01-14 10:33:01 AM,%RH,89.547
02-01-14 11:33:01 AM,%RH,90.612
02-01-14 12:33:01 PM,%RH,85.938
02-01-14 01:33:01 PM,%RH,79.091
02-01-14 02:33:01 PM,%RH,71.945
02-01-14 03:33:01 PM,%RH,61.999
02-01-14 04:33:01 PM,%RH,61.859
02-01-14 05:33:01 PM,%RH,75.62
02-01-14 06:33:01 PM,%RH,86.06
02-01-14 07:33:01 PM,%RH,89.784
02-01-14 08:33:01 PM,%RH,91.669
